"population" "region" "water_clarity" "original_PR_mean" "lake_area_Hec" "PR_total" "original_SmaxPR" "PR_mean" "SmaxPR" "lake_area_hec" "est_origin" "count" "PR_mean_mean" "SD" "SmaxPR_SD"
"mercer" "low.coastal" "stained" 63.44 114 13.23 2475 63.44 2475 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 2079
"meziadin" "interior" "clear" 144.67 3321 936 175032 NA 175032 3321 "empirical" 23 124.869043478261 66.6555720043366 75753
"mikado" "low.coastal" "stained" 18.97 267 9.3 1733 NA 1733 267 "empirical" 30 63.8761333333333 53.2795113365116 4868
"morice" "interior" "clear" 83 9754 1481.5 277047 NA 277047 9754 "empirical" 23 124.869043478261 66.6555720043366 222491
"morrison" "interior" "stained" 108 1460 288.6 53960 NA 53960 1460 "empirical" 30 63.8761333333333 53.2795113365116 26620
"motase" "interior" "glacial" 14.21 1403 36.5 6822 NA 6823 1403 "empirical" 8 39.22275 34.8594786443679 16737
"namu" "low.coastal" "stained" 42.9 317 24.9 4654 NA 4654 317 "empirical" 30 63.8761333333333 53.2795113365116 5780
"owikeno" "coast.fjord" "glacial" 95.5 9450 1651.5 308836 NA 308836 9450 "empirical" 8 39.22275 34.8594786443679 112732
"port_john" "low.coastal" "stained" 65.44 95 11.38 2127 65.44 2127 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 1732
"price" "low.coastal" "stained" 46.1 93 7.8 1467 NA 1467 93 "empirical" 30 63.8761333333333 53.2795113365116 1696
"prudhomme" "low.coastal" "stained" 63.83 202 23.6 4412 63.83 4412 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 3683
"shawaltan" "low.coastal" "stained" 72.18 156 20.61 3853 72.18 3853 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 2844
"sheneeza" "low.coastal" "stained" 51.95 44 4.18 782 51.95 782 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 802
"skidegate" "low.coastal" "stained" 75.85 715 99.25 18559 75.85 18559 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 13036
"slamgeesh" "interior" "clear" 68.82 76 9.6 1789 NA 2057 70.7 "both" 23 124.869043478261 66.6555720043366 1734
"stephens" "interior" "clear" 148.85 187 50.9 9525 NA 9526 187 "empirical" 23 124.869043478261 66.6555720043366 4266
"sustut" "low.coastal" "stained" 75.69 250 34.6 6575 NA 6476 250 "empirical" 30 63.8761333333333 53.2795113365116 4558
"swan" "interior" "clear" 95.12 1777 309.3 57843 NA 56574 1738 "empirical" 23 124.869043478261 66.6555720043366 40534
"tankeeah" "low.coastal" "stained" 37.93 280 19.4 3634 NA 3634 280 "empirical" 30 63.8761333333333 53.2795113365116 5105
"tuno_east" "low.coastal" "stained" 39.9 37 2.7 505 40.48 513 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 675
"tuno_west" "low.coastal" "stained" 41.5 43 3.27 611 40.62 598 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 784
"yakoun" "low.coastal" "stained" 83.21 836 127.3 23805 83.21 23805 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 15243
"yeo" "low.coastal" "stained" 72.01 84.5 11.14 2082 72.01 2082 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 1541
