Lake,Clarity,Lat,Long,Int. (?),Model1,Model2,Model3,Model4,PRmean,95% CI
Pine,stained,52.66,-128.07,NA,53.31,49.7,50.39,47.74,50.28,(37.8 - 66.8)
Port John,stained,52.14,-127.82,NA,51.55,75.82,49.84,84.54,65.44,(44.7 - 96.1)
Prudhomme,stained,54.24,-130.15,NA,73.55,61.08,72.08,48.61,63.83,(43.1 - 95)
Roderick,stained,52.6,-128.41,NA,72.52,87.77,64.18,120.71,86.29,(59.6 - 125.2)
Shawaltan,stained,54.32,-130.25,NA,84.52,58.97,89.09,56.15,72.18,(47.1 - 111.1)
Sheneeza,stained,53.54,-129.87,NA,54.42,53.51,58.38,41.47,51.95,(38.9 - 69.4)
Skidegate,stained,53.11,-131.87,NA,71.53,72.56,73.9,85.39,75.85,(56.2 - 102.4)
Skundale,stained,53.77,-132.48,NA,66.59,50.38,58.86,47.51,55.84,(39.2 - 79.7)
South Kwakwa,stained,52.54,-128.62,NA,43.54,46.8,44.93,41.34,44.15,(32.5 - 60)
Spawning,clear,56.58,-126.26,-0.36,73.5,60.99,84.37,58.36,69.31,(43.7 - 109.9)
Spencer,stained,53.51,-130.14,NA,46.33,50.14,50.09,33.17,44.93,(31.8 - 63.5)
Splitmountain,stained,54.33,-129.98,NA,57.65,53.67,64.13,43.83,54.82,(34.9 - 86.3)
Stannard,stained,52.73,-129.21,NA,40.26,57.65,41.18,40.45,44.89,(32.5 - 62.2)
Tuno E Lower,stained,52.29,-128.32,NA,43.77,48.46,40.77,40.31,43.33,(30 - 62.6)
Tuno E Middle,stained,52.29,-128.31,NA,33.7,49.25,35.35,32.23,37.63,(25.2 - 56.4)
Tuno W Lower,stained,52.3,-128.36,NA,32.24,47.13,30.85,25.78,34,(21.2 - 55.1)
Tuno W Upper,stained,52.31,-128.35,NA,44.58,56.03,42.6,45.75,47.24,(34.1 - 65.6)
Tuwartz,stained,53.35,-129.55,NA,69.14,64.4,62.52,60.82,64.22,(49.2 - 83.8)
Tyler,stained,52.88,-128.79,NA,37.55,44,44.1,31.17,39.21,(27.6 - 55.8)
U Hevenor,stained,53.61,-129.99,NA,61.7,107.85,58.62,83.16,77.83,(51.5 - 118.7)
U Kadjusdis,stained,52.12,-128.03,NA,41.68,45.99,40.56,43.66,42.97,(29.7 - 62.3)
U Kluatantan,glacial,56.95,-128.06,NA,6.63,9.25,6.47,10.53,8.22,(4.2 - 16.1)
U Lewis,stained,53.34,-130.1,NA,52.23,52.69,51.19,35.16,47.82,(35.1 - 65.1)
U Limestone,stained,52.71,-129.16,NA,39.65,48.73,39.68,30.17,39.56,(27.7 - 56.7)
U Monckton,stained,53.33,-129.58,NA,52.5,52.83,52.7,35.72,48.44,(36.2 - 64.8)
U Powels,stained,52.7,-128.68,NA,42.08,45.12,46.12,31.01,41.08,(30.1 - 56)
U Ryan,stained,53.61,-130.17,NA,46.37,54.35,50.04,36.67,46.86,(32.9 - 66.8)
U Salter,stained,53.56,-129.71,NA,44.51,51.28,57.6,37.67,47.77,(32.7 - 69.9)
U Ship Point,stained,52.1,-128.17,NA,41.87,43.9,45,44.24,43.75,(31.1 - 61.7)
U Sockeye Ck,stained,52.48,-128.52,NA,31.79,50.41,42.07,29.66,38.48,(24.5 - 60.6)
U Talamoosa,stained,52.7,-128.96,NA,47.84,52.8,43.84,39.33,45.95,(33 - 64)
Wale,stained,52.84,-129,NA,44.32,50.62,41.89,33.77,42.65,(30 - 60.7)
Watt,stained,51.84,-128.1,NA,44.05,55.45,39.8,52.61,47.98,(32.1 - 71.9)
West,stained,52.75,-129.29,NA,45.87,54.44,43.07,43.99,46.84,(33.9 - 64.8)
Yaaklele,stained,52.19,-128.43,NA,42.83,53.18,37.57,51.45,46.26,(30.5 - 70.3)
Yakoun,stained,53.34,-132.26,NA,82.36,73.56,81.27,95.66,83.21,(60.8 - 114.1)
Yeo,stained,52.33,-128.12,NA,47.09,95.28,49.96,95.71,72.01,(43.4 - 122.1)
