"","Model","Metric","Estimate","SE"
"1","m1","elpd_loo",-3619.47516091003,794.441002028916
"2","m3","elpd_loo",-3559.18949104011,914.823554207161
"3","m4a","elpd_loo",-2030.84691205137,157.134207768209
"4","m2a","elpd_loo",-2012.34569211137,155.588767636392
"5","m2b","elpd_loo",-2001.44955482362,161.611895566455
"6","m4b","elpd_loo",-1998.61237501794,144.227109180651
"7","m4b","looic",3997.22475003589,288.454218361302
"8","m2b","looic",4002.89910964724,323.22379113291
"9","m2a","looic",4024.69138422275,311.177535272785
"10","m4a","looic",4061.69382410275,314.268415536419
"11","m3","looic",7118.37898208022,1829.64710841432
"12","m1","looic",7238.95032182006,1588.88200405783
"13","m2b","p_loo",749.946872229047,148.901460653114
"14","m4b","p_loo",754.249595963467,130.349824641102
"15","m2a","p_loo",759.984903041717,142.414060739832
"16","m4a","p_loo",785.258141163868,143.91187194005
"17","m3","p_loo",2282.82729996151,908.972390719702
"18","m1","p_loo",2337.11670654482,788.115597174514
