"","Pop","Model","Weight"
"m4b18","fred-wright","m4b","0.999632168758331"
"m119","freeda-lakes","m1","4.57023843815894e-09"
"m2a19","freeda-lakes","m2a","4.13849845469007e-07"
"m2b19","freeda-lakes","m2b","2.49432613881524e-07"
"m319","freeda-lakes","m3","4.19479540771527e-07"
"m4a19","freeda-lakes","m4a","1.58853532630051e-05"
"m4b19","freeda-lakes","m4b","0.999983027314498"
"m120","hartley-bay","m1","1.59903389050933e-09"
"m2a20","hartley-bay","m2a","5.43913739159526e-08"
"m2b20","hartley-bay","m2b","8.21323024745033e-09"
"m320","hartley-bay","m3","0.224389974362635"
"m4a20","hartley-bay","m4a","6.35572187286263e-05"
"m4b20","hartley-bay","m4b","0.775546404214999"
"m121","hauyat","m1","9.50831083530562e-08"
"m2a21","hauyat","m2a","0.0920736726021204"
"m2b21","hauyat","m2b","3.26168065661595e-06"
"m321","hauyat","m3","1.75786374369726e-08"
"m4a21","hauyat","m4a","4.70524595552295e-06"
"m4b21","hauyat","m4b","0.907918247809522"
"m122","johanson","m1","8.47062798682693e-09"
"m2a22","johanson","m2a","3.2207439499154e-08"
"m2b22","johanson","m2b","6.53635987125661e-08"
"m322","johanson","m3","3.25505290356145e-09"
"m4a22","johanson","m4a","1.38764787968675e-06"
"m4b22","johanson","m4b","0.999998503055401"
"m123","johnston","m1","2.40706517553521e-08"
"m2a23","johnston","m2a","0.000213198670710138"
"m2b23","johnston","m2b","0.99977758932123"
"m323","johnston","m3","2.16658422476365e-07"
"m4a23","johnston","m4a","2.14411833558928e-06"
"m4b23","johnston","m4b","6.82716065003586e-06"
"m124","kadjusdis","m1","2.82576155297189e-07"
"m2a24","kadjusdis","m2a","2.90683860760535e-07"
"m2b24","kadjusdis","m2b","1.25846275010139e-10"
"m324","kadjusdis","m3","1.98948572966286e-07"
"m4a24","kadjusdis","m4a","0.999907330303136"
"m4b24","kadjusdis","m4b","9.1897362428317e-05"
"m125","kainet","m1","8.75673280831467e-07"
"m2a25","kainet","m2a","0.303293271167317"
"m2b25","kainet","m2b","3.69437217097075e-08"
"m325","kainet","m3","0.696704247528072"
"m4a25","kainet","m4a","1.56374004730641e-06"
"m4b25","kainet","m4b","4.94756113855743e-09"
"m126","kdelmashan","m1","5.71863842000662e-08"
"m2a26","kdelmashan","m2a","1.155731790059e-07"
"m2b26","kdelmashan","m2b","7.38678874836829e-07"
"m326","kdelmashan","m3","7.52570069475041e-07"
"m4a26","kdelmashan","m4a","0.999811801458126"
"m4b26","kdelmashan","m4b","0.000186534533366256"
"m127","keecha","m1","6.9086607002481e-08"
"m2a27","keecha","m2a","3.18284776310364e-07"
"m2b27","keecha","m2b","7.26980735617209e-09"
"m327","keecha","m3","5.04747528726487e-07"
"m4a27","keecha","m4a","0.000415368917021965"
"m4b27","keecha","m4b","0.999583731694259"
"m128","keswar","m1","2.87038582233577e-08"
"m2a28","keswar","m2a","1.90660379848217e-06"
"m2b28","keswar","m2b","7.35156598363218e-07"
"m328","keswar","m3","5.45607366537851e-07"
"m4a28","keswar","m4a","0.99981508808593"
"m4b28","keswar","m4b","0.00018169584244887"
"m129","kimsquit","m1","6.53324339452253e-10"
"m2a29","kimsquit","m2a","6.31565152221434e-07"
"m2b29","kimsquit","m2b","3.32735218560798e-07"
"m329","kimsquit","m3","2.88213665803711e-06"
"m4a29","kimsquit","m4a","0.999891285695424"
"m4b29","kimsquit","m4b","0.000104867214222537"
"m130","kisameet","m1","1.02603655507355e-09"
"m2a30","kisameet","m2a","1.53259945459745e-06"
"m2b30","kisameet","m2b","0.509846909788603"
"m330","kisameet","m3","4.16858797690638e-08"
"m4a30","kisameet","m4a","8.75833243208082e-07"
"m4b30","kisameet","m4b","0.490150639066783"
"m131","kitkiata","m1","1.93559799190794e-07"
"m2a31","kitkiata","m2a","0.992011496933604"
"m2b31","kitkiata","m2b","0.00798801481767949"
"m331","kitkiata","m3","5.57108533246688e-08"
"m4a31","kitkiata","m4a","2.10202020226366e-07"
"m4b31","kitkiata","m4b","2.87760441031182e-08"
"m132","kitlope","m1","5.83100738218133e-08"
"m2a32","kitlope","m2a","1.22073697155042e-05"
"m2b32","kitlope","m2b","0.999974134204572"
"m332","kitlope","m3","2.74087233615505e-06"
"m4a32","kitlope","m4a","5.91040175221812e-06"
"m4b32","kitlope","m4b","4.94884155011199e-06"
"m133","kitsumkalum","m1","1.79822526192275e-08"
"m2a33","kitsumkalum","m2a","1.28515802704281e-07"
"m2b33","kitsumkalum","m2b","1.59425200013747e-07"
"m333","kitsumkalum","m3","4.00846979205185e-07"
"m4a33","kitsumkalum","m4a","2.64418284590603e-05"
"m4b33","kitsumkalum","m4b","0.999972851401306"
"m134","kitwancool","m1","3.25300275044683e-06"
"m2a34","kitwancool","m2a","2.07302152843076e-07"
"m2b34","kitwancool","m2b","0.999995192841581"
"m334","kitwancool","m3","4.76931786094436e-08"
"m4a34","kitwancool","m4a","6.61405696471717e-08"
"m4b34","kitwancool","m4b","1.23301976706625e-06"
"m135","koeye","m1","9.95637142279272e-09"
"m2a35","koeye","m2a","0.000158873852072651"
"m2b35","koeye","m2b","0.999836195692885"
"m335","koeye","m3","2.25968817822973e-07"
"m4a35","koeye","m4a","4.38317696949795e-06"
"m4b35","koeye","m4b","3.11352883364258e-07"
"m136","kooryet","m1","4.49132093365656e-09"
"m2a36","kooryet","m2a","0.00204869407377798"
"m2b36","kooryet","m2b","0.99794739270544"
"m336","kooryet","m3","2.0027085340343e-08"
"m4a36","kooryet","m4a","2.18383471941188e-06"
"m4b36","kooryet","m4b","1.70486765638245e-06"
"m137","kwakwa","m1","2.44928953078844e-07"
"m2a37","kwakwa","m2a","2.39649639143122e-05"
"m2b37","kwakwa","m2b","0.541370920006034"
"m337","kwakwa","m3","3.80602347397391e-08"
"m4a37","kwakwa","m4a","0.458563564400775"
"m4b37","kwakwa","m4b","4.12676400883827e-05"
"m138","lakelse","m1","2.53358109074258e-07"
"m2a38","lakelse","m2a","5.09051598364693e-05"
"m2b38","lakelse","m2b","2.35421422867451e-06"
"m338","lakelse","m3","6.64688030710799e-08"
"m4a38","lakelse","m4a","0.999945063754119"
"m4b38","lakelse","m4b","1.35704490378252e-06"
"m139","long","m1","1.33351341306946e-07"
"m2a39","long","m2a","1.01280753368258e-06"
"m2b39","long","m2b","0.245218128253686"
"m339","long","m3","0.754775885413035"
"m4a39","long","m4a","1.64983304889266e-06"
"m4b39","long","m4b","3.19034135531915e-06"
"m140","lowe","m1","4.88197096609549e-08"
"m2a40","lowe","m2a","2.39076022097248e-07"
"m2b40","lowe","m2b","1.16734186844662e-08"
"m340","lowe","m3","0.999993174120992"
"m4a40","lowe","m4a","4.66681577944423e-07"
"m4b40","lowe","m4b","6.05962827937567e-06"
"m141","marian-eden","m1","6.45750958036849e-05"
"m2a41","marian-eden","m2a","1.01825644129724e-08"
"m2b41","marian-eden","m2b","0.460315501570563"
"m341","marian-eden","m3","0.539619841541918"
"m4a41","marian-eden","m4a","9.43258564014632e-09"
"m4b41","marian-eden","m4b","6.21765652297768e-08"
"m142","mary-cove","m1","2.99643855413926e-06"
"m2a42","mary-cove","m2a","9.48833617032823e-06"
"m2b42","mary-cove","m2b","0.0251006664580636"
"m342","mary-cove","m3","1.23871864263817e-07"
"m4a42","mary-cove","m4a","0.974886714355314"
"m4b42","mary-cove","m4b","1.05400338457073e-08"
"m143","mathers","m1","5.88302845752241e-06"
"m2a43","mathers","m2a","1.26605548261656e-07"
"m2b43","mathers","m2b","0.999993417539679"
"m343","mathers","m3","1.87330110750468e-07"
"m4a43","mathers","m4a","2.04802711292029e-07"
"m4b43","mathers","m4b","1.80693492723982e-07"
"m144","mcdonell","m1","1.73602309701132e-08"
"m2a44","mcdonell","m2a","5.41911677318211e-06"
"m2b44","mcdonell","m2b","0.999959486303913"
"m344","mcdonell","m3","6.46844708516964e-07"
"m4a44","mcdonell","m4a","2.87425261710015e-05"
"m4b44","mcdonell","m4b","5.68784820365043e-06"
"m145","mcloughlin","m1","2.01192719317335e-08"
"m2a45","mcloughlin","m2a","4.7827319250266e-07"
"m2b45","mcloughlin","m2b","2.09044644304536e-06"
"m345","mcloughlin","m3","9.32930233633574e-07"
"m4a45","mcloughlin","m4a","0.999942995319875"
"m4b45","mcloughlin","m4b","5.34829109839485e-05"
"m146","mercer","m1","1.12661778958737e-07"
"m2a46","mercer","m2a","4.90444256630824e-09"
"m2b46","mercer","m2b","8.72148794805537e-08"
"m346","mercer","m3","1.76026537141413e-06"
"m4a46","mercer","m4a","1.39808675045063e-05"
"m4b46","mercer","m4b","0.999984054086023"
"m147","meziadin","m1","1.32033912797046e-07"
"m2a47","meziadin","m2a","1.14332550966747e-06"
"m2b47","meziadin","m2b","9.56395177818098e-06"
"m347","meziadin","m3","9.45913649680053e-08"
