"","Pop","Model","Weight"
"m1","alastair","m1","3.65075470439276e-08"
"m2a","alastair","m2a","0.000561232657220754"
"m2b","alastair","m2b","0.119947039018721"
"m3","alastair","m3","6.13954168893471e-09"
"m4a","alastair","m4a","0.879482783767845"
"m4b","alastair","m4b","8.90190912461453e-06"
"m11","asitika","m1","6.96062325931096e-09"
"m2a1","asitika","m2a","0.999997798467825"
"m2b1","asitika","m2b","1.28392704100996e-06"
"m31","asitika","m3","1.83291831645548e-09"
"m4a1","asitika","m4a","8.20483321897035e-07"
"m4b1","asitika","m4b","8.83282704755572e-08"
"m12","atnarko","m1","0.830103894811134"
"m2a2","atnarko","m2a","0.169886406563799"
"m2b2","atnarko","m2b","5.82665348361781e-07"
"m32","atnarko","m3","1.47000969053958e-08"
"m4a2","atnarko","m4a","8.01266769479447e-06"
"m4b2","atnarko","m4b","1.0885919272674e-06"
"m13","awun","m1","1.09273887957312e-07"
"m2a3","awun","m2a","0.549010257028034"
"m2b3","awun","m2b","0.450977166565033"
"m33","awun","m3","1.91972246734081e-09"
"m4a3","awun","m4a","4.86190846983207e-06"
"m4b3","awun","m4b","7.60330485227723e-06"
"m14","azuklotz","m1","3.70127502806474e-08"
"m2a4","azuklotz","m2a","2.01751668855463e-07"
"m2b4","azuklotz","m2b","0.133054894868958"
"m34","azuklotz","m3","2.99167590150346e-10"
"m4a4","azuklotz","m4a","0.866944770549213"
"m4b4","azuklotz","m4b","9.55182414275058e-08"
"m15","babine","m1","1.25619162593752e-07"
"m2a5","babine","m2a","0.000215156896623056"
"m2b5","babine","m2b","1.31396485980686e-06"
"m35","babine","m3","2.90631137669302e-07"
"m4a5","babine","m4a","0.999783042114413"
"m4b5","babine","m4b","7.07738034844141e-08"
"m16","banks","m1","1.22785661441108e-08"
"m2a6","banks","m2a","0.498652757573941"
"m2b6","banks","m2b","0.348842820148442"
"m36","banks","m3","2.7534753094344e-08"
"m4a6","banks","m4a","0.000118582970850093"
"m4b6","banks","m4b","0.152385799493448"
"m17","bear","m1","0.232404109238869"
"m2a7","bear","m2a","7.66467174896913e-07"
"m2b7","bear","m2b","1.53480010595279e-06"
"m37","bear","m3","2.26317767064464e-07"
"m4a7","bear","m4a","0.767593318778536"
"m4b7","bear","m4b","4.43975471942082e-08"
"m18","bloomfield","m1","1.23620406417902e-07"
"m2a8","bloomfield","m2a","0.293173093173"
"m2b8","bloomfield","m2b","0.0816637048615538"
"m38","bloomfield","m3","6.27815097583969e-09"
"m4a8","bloomfield","m4a","0.000373344251782859"
"m4b8","bloomfield","m4b","0.624789727815106"
"m19","bonilla","m1","3.25367882396756e-08"
"m2a9","bonilla","m2a","3.78818846932141e-06"
"m2b9","bonilla","m2b","0.999845760713392"
"m39","bonilla","m3","1.03884606813213e-06"
"m4a9","bonilla","m4a","2.30159301330158e-05"
"m4b9","bonilla","m4b","0.000126363785148964"
"m110","borrowman","m1","2.08889223625996e-08"
"m2a10","borrowman","m2a","3.52419657694863e-06"
"m2b10","borrowman","m2b","0.999989724307596"
"m310","borrowman","m3","2.33527126124756e-06"
"m4a10","borrowman","m4a","4.31722642322294e-06"
"m4b10","borrowman","m4b","7.8109220091882e-08"
"m111","bowser","m1","2.609776362651e-07"
"m2a11","bowser","m2a","4.80666897746345e-05"
"m2b11","bowser","m2b","0.99994766004268"
"m311","bowser","m3","5.70112614962388e-08"
"m4a11","bowser","m4a","3.11756771936286e-07"
"m4b11","bowser","m4b","3.64352187565142e-06"
"m112","canoona","m1","1.35956188844946e-07"
"m2a12","canoona","m2a","9.77742635439394e-06"
"m2b12","canoona","m2b","0.00619568987586489"
"m312","canoona","m3","2.00563012942881e-08"
"m4a12","canoona","m4a","0.0166626772996864"
"m4b12","canoona","m4b","0.977131699385604"
"m113","curtis-inlet","m1","0.000119907390696906"
"m2a13","curtis-inlet","m2a","2.46774902730175e-06"
"m2b13","curtis-inlet","m2b","0.999870360729369"
"m313","curtis-inlet","m3","5.13171791223204e-06"
"m4a13","curtis-inlet","m4a","1.17473849069791e-06"
"m4b13","curtis-inlet","m4b","9.57674504142858e-07"
"m114","damdochax","m1","9.30156639059234e-09"
"m2a14","damdochax","m2a","0.577889608319671"
"m2b14","damdochax","m2b","0.422109222076114"
"m314","damdochax","m3","3.02205119989872e-09"
"m4a14","damdochax","m4a","8.69180077362304e-07"
"m4b14","damdochax","m4b","2.88100519663104e-07"
"m115","devon","m1","3.66559612393294e-07"
"m2a15","devon","m2a","2.54616675857478e-05"
"m2b15","devon","m2b","3.25247044894554e-06"
"m315","devon","m3","1.92111293523991e-08"
"m4a15","devon","m4a","2.42711216568305e-06"
"m4b15","devon","m4b","0.999968472979058"
"m116","evelyn","m1","1.52146839113588e-07"
"m2a16","evelyn","m2a","1.65404495966522e-06"
"m2b16","evelyn","m2b","0.598804396332316"
"m316","evelyn","m3","2.67666597120491e-08"
"m4a16","evelyn","m4a","1.99798002882246e-05"
"m4b16","evelyn","m4b","0.401173790908937"
