"","Pop","Model","Weight"
"m117","fairfax","m1","5.33994750266735e-08"
"m2a17","fairfax","m2a","1.00565982261297e-07"
"m2b17","fairfax","m2b","5.71695471028334e-08"
"m317","fairfax","m3","9.63263038326604e-10"
"m4a17","fairfax","m4a","0.0624649944538358"
"m4b17","fairfax","m4b","0.937534793447897"
"m118","fred-wright","m1","8.10596744604914e-09"
"m2a18","fred-wright","m2a","6.56790313949839e-08"
"m2b18","fred-wright","m2b","9.2228124512537e-08"
"m318","fred-wright","m3","3.47260066695109e-07"
"m4a18","fred-wright","m4a","1.07569934839633e-05"
"m4b18","fred-wright","m4b","0.999988729733326"
"m119","freeda-lakes","m1","5.57458892846039e-07"
"m2a19","freeda-lakes","m2a","0.999719834675818"
"m2b19","freeda-lakes","m2b","0.000278357512509686"
"m319","freeda-lakes","m3","2.25238985295372e-09"
"m4a19","freeda-lakes","m4a","1.22720617201124e-06"
"m4b19","freeda-lakes","m4b","2.08942174673155e-08"
"m120","hartley-bay","m1","2.76571018035899e-07"
"m2a20","hartley-bay","m2a","7.13956841991223e-06"
"m2b20","hartley-bay","m2b","0.0203741644014703"
"m320","hartley-bay","m3","1.67655335556931e-08"
"m4a20","hartley-bay","m4a","2.43662097736555e-07"
"m4b20","hartley-bay","m4b","0.97961815903146"
"m121","hauyat","m1","3.38308372741874e-07"
"m2a21","hauyat","m2a","2.70772473843527e-06"
"m2b21","hauyat","m2b","0.999984178241119"
"m321","hauyat","m3","1.89340486648163e-06"
"m4a21","hauyat","m4a","4.41447688048404e-06"
"m4b21","hauyat","m4b","6.46784402325018e-06"
"m122","johanson","m1","4.35926353852135e-07"
"m2a22","johanson","m2a","6.19823182114605e-06"
"m2b22","johanson","m2b","4.80841700328595e-08"
"m322","johanson","m3","4.95908353532806e-09"
"m4a22","johanson","m4a","0.999992685469353"
"m4b22","johanson","m4b","6.27329218683137e-07"
"m123","johnston","m1","1.5939682318554e-08"
"m2a23","johnston","m2a","2.50921517530068e-06"
"m2b23","johnston","m2b","2.5573333452155e-06"
"m323","johnston","m3","0.000390577093422649"
"m4a23","johnston","m4a","0.999600370271296"
"m4b23","johnston","m4b","3.97014707853582e-06"
"m124","kadjusdis","m1","3.61676590029883e-08"
"m2a24","kadjusdis","m2a","0.039008673865707"
"m2b24","kadjusdis","m2b","0.68565691614348"
"m324","kadjusdis","m3","1.14666445132464e-07"
"m4a24","kadjusdis","m4a","0.187815426836728"
"m4b24","kadjusdis","m4b","0.0875188323199811"
"m125","kainet","m1","1.96941674783352e-06"
"m2a25","kainet","m2a","0.631761284120812"
"m2b25","kainet","m2b","1.66511835689998e-06"
"m325","kainet","m3","0.367783836758496"
"m4a25","kainet","m4a","4.35418325101161e-07"
"m4b25","kainet","m4b","0.000450809167261923"
"m126","kdelmashan","m1","1.60677449226914e-07"
"m2a26","kdelmashan","m2a","0.130655731058057"
"m2b26","kdelmashan","m2b","1.21540643903636e-06"
"m326","kdelmashan","m3","2.90373829237517e-08"
"m4a26","kdelmashan","m4a","0.869324941178214"
"m4b26","kdelmashan","m4b","1.79226424581458e-05"
"m127","keecha","m1","3.10200979291381e-09"
"m2a27","keecha","m2a","3.02825052138358e-07"
"m2b27","keecha","m2b","6.65390041629688e-08"
"m327","keecha","m3","2.0115203538106e-07"
"m4a27","keecha","m4a","0.00138239245003337"
"m4b27","keecha","m4b","0.998617033931865"
"m128","keswar","m1","2.10705249276901e-08"
"m2a28","keswar","m2a","3.13536104954636e-06"
"m2b28","keswar","m2b","0.999990361422275"
"m328","keswar","m3","1.22330491989524e-07"
"m4a28","keswar","m4a","3.14127578063071e-06"
"m4b28","keswar","m4b","3.21853987772514e-06"
"m129","kimsquit","m1","6.27638062976844e-07"
"m2a29","kimsquit","m2a","3.18981866175054e-09"
"m2b29","kimsquit","m2b","0.402295272098294"
"m329","kimsquit","m3","0.597703142986698"
"m4a29","kimsquit","m4a","7.83626221203651e-07"
"m4b29","kimsquit","m4b","1.70460904613812e-07"
"m130","kisameet","m1","3.91863965994613e-09"
"m2a30","kisameet","m2a","1.98446641091394e-08"
"m2b30","kisameet","m2b","0.99999989196412"
"m330","kisameet","m3","6.06093809113077e-10"
"m4a30","kisameet","m4a","1.79571568252139e-08"
"m4b30","kisameet","m4b","6.57093252032226e-08"
"m131","kitkiata","m1","0.000122523114531984"
"m2a31","kitkiata","m2a","0.999864621472055"
"m2b31","kitkiata","m2b","6.53321051615563e-06"
"m331","kitkiata","m3","9.54828018081998e-08"
"m4a31","kitkiata","m4a","3.79852744000783e-06"
"m4b31","kitkiata","m4b","2.42819265550143e-06"
"m132","kitlope","m1","1.7394077358894e-09"
"m2a32","kitlope","m2a","1.07129679528607e-06"
"m2b32","kitlope","m2b","0.255744703173267"
"m332","kitlope","m3","4.89605495400075e-08"
"m4a32","kitlope","m4a","0.46006767511246"
"m4b32","kitlope","m4b","0.284186499717521"
"m133","kitsumkalum","m1","2.79781664251041e-09"
"m2a33","kitsumkalum","m2a","5.34079364658111e-07"
"m2b33","kitsumkalum","m2b","2.82520275786356e-06"
"m333","kitsumkalum","m3","8.12331216001792e-07"
"m4a33","kitsumkalum","m4a","0.999838280506382"
"m4b33","kitsumkalum","m4b","0.000157545082463018"
"m134","kitwancool","m1","3.24785110639041e-08"
"m2a34","kitwancool","m2a","2.88523746422663e-07"
"m2b34","kitwancool","m2b","7.43704244524303e-07"
"m334","kitwancool","m3","0.760051492883983"
"m4a34","kitwancool","m4a","5.91572218194482e-06"
"m4b34","kitwancool","m4b","0.239941526687333"
"m135","koeye","m1","2.56853168782783e-08"
"m2a35","koeye","m2a","1.00664758889321e-05"
"m2b35","koeye","m2b","2.19236938760246e-05"
"m335","koeye","m3","3.85296748545215e-08"
"m4a35","koeye","m4a","0.999967684361269"
"m4b35","koeye","m4b","2.61253974120912e-07"
"m136","kooryet","m1","2.28279491090347e-07"
"m2a36","kooryet","m2a","1.46063181979581e-07"
"m2b36","kooryet","m2b","0.999996232843709"
"m336","kooryet","m3","5.79302723711858e-07"
"m4a36","kooryet","m4a","2.35931355174229e-06"
"m4b36","kooryet","m4b","4.54197342514284e-07"
"m137","kwakwa","m1","6.5134412292077e-08"
"m2a37","kwakwa","m2a","2.48196013220717e-07"
"m2b37","kwakwa","m2b","2.79404294809358e-07"
"m337","kwakwa","m3","2.50211046076054e-07"
"m4a37","kwakwa","m4a","7.30453877306225e-06"
"m4b37","kwakwa","m4b","0.999991852515461"
"m138","lakelse","m1","4.44389935759454e-07"
"m2a38","lakelse","m2a","0.479234363766693"
"m2b38","lakelse","m2b","0.520678524557588"
"m338","lakelse","m3","4.80845550441387e-07"
"m4a38","lakelse","m4a","6.658391073481e-05"
"m4b38","lakelse","m4b","1.96025294975088e-05"
"m139","long","m1","5.54891020711154e-07"
"m2a39","long","m2a","0.0693520613970686"
"m2b39","long","m2b","3.50033811865581e-06"
"m339","long","m3","0.93064335379678"
"m4a39","long","m4a","5.21009562556954e-07"
"m4b39","long","m4b","8.567449638619e-09"
"m140","lowe","m1","2.76380124259408e-08"
"m2a40","lowe","m2a","2.62494160929316e-05"
"m2b40","lowe","m2b","0.169701867034712"
"m340","lowe","m3","0.828697453892003"
"m4a40","lowe","m4a","0.00151768389340178"
"m4b40","lowe","m4b","5.67181257776772e-05"
"m141","marian-eden","m1","4.40028017849876e-09"
"m2a41","marian-eden","m2a","6.16825429971054e-08"
"m2b41","marian-eden","m2b","2.50518732587001e-07"
"m341","marian-eden","m3","0.861156214609964"
"m4a41","marian-eden","m4a","0.138834951068285"
"m4b41","marian-eden","m4b","8.51772019527797e-06"
"m142","mary-cove","m1","5.91690350704872e-08"
"m2a42","mary-cove","m2a","0.398659496219152"
"m2b42","mary-cove","m2b","0.000434024115125648"
"m342","mary-cove","m3","5.46398137893093e-09"
"m4a42","mary-cove","m4a","2.64295793711253e-07"
"m4b42","mary-cove","m4b","0.600906150736912"
"m143","mathers","m1","5.2125068018241e-10"
"m2a43","mathers","m2a","3.21785137291594e-07"
"m2b43","mathers","m2b","4.22460190968137e-06"
"m343","mathers","m3","2.31388080599838e-08"
"m4a43","mathers","m4a","4.46497285076236e-06"
"m4b43","mathers","m4b","0.999990964980043"
"m144","mcdonell","m1","4.76335692922605e-09"
"m2a44","mcdonell","m2a","1.84892405678849e-06"
"m2b44","mcdonell","m2b","3.98436971249234e-06"
"m344","mcdonell","m3","4.06052283958176e-08"
"m4a44","mcdonell","m4a","3.1208839327267e-07"
"m4b44","mcdonell","m4b","0.999993809249252"
"m145","mcloughlin","m1","8.20087952975836e-09"
"m2a45","mcloughlin","m2a","1.47927741755243e-06"
"m2b45","mcloughlin","m2b","0.749531589916195"
"m345","mcloughlin","m3","1.07345599806517e-06"
"m4a45","mcloughlin","m4a","0.250460472804838"
"m4b45","mcloughlin","m4b","5.37634467190351e-06"
"m146","mercer","m1","2.12368210537015e-08"
"m2a46","mercer","m2a","9.35704454928463e-07"
"m2b46","mercer","m2b","0.817228007354866"
"m346","mercer","m3","0.176745931849973"
"m4a46","mercer","m4a","0.0059912947387645"
"m4b46","mercer","m4b","3.38091151210751e-05"
"m147","meziadin","m1","1.04401867005461e-07"
"m2a47","meziadin","m2a","7.14221185419061e-07"
"m2b47","meziadin","m2b","4.01674458755271e-05"
"m347","meziadin","m3","1.77351707228892e-07"
"m4a47","meziadin","m4a","0.000883497414883741"
"m4b47","meziadin","m4b","0.999075339164481"
"m148","mikado","m1","0.313697964612454"
"m2a48","mikado","m2a","1.51798744807457e-05"
"m2b48","mikado","m2b","0.281320028133896"
"m348","mikado","m3","1.41836619942912e-08"
"m4a48","mikado","m4a","0.000803324602679731"
"m4b48","mikado","m4b","0.404163488592827"
"m149","morice","m1","0.00120012743324683"
"m2a49","morice","m2a","1.06033969278335e-06"
"m2b49","morice","m2b","3.14509334956985e-05"
"m349","morice","m3","0.810199243112395"
"m4a49","morice","m4a","0.188568051507368"
"m4b49","morice","m4b","6.66738018129109e-08"
"m150","morrison","m1","6.13235429386467e-08"
"m2a50","morrison","m2a","7.44744409770561e-08"
"m2b50","morrison","m2b","0.999989500647248"
"m350","morrison","m3","2.9572529317849e-07"
"m4a50","morrison","m4a","1.92263054945311e-06"
"m4b50","morrison","m4b","8.14519892589072e-06"
"m151","motase","m1","5.86669608277974e-09"
"m2a51","motase","m2a","4.15879589618681e-06"
"m2b51","motase","m2b","0.999995535723595"
"m351","motase","m3","6.80456583406523e-10"
"m4a51","motase","m4a","1.97301820202492e-07"
"m4b51","motase","m4b","1.0163153629783e-07"
"m152","namu","m1","2.24181668319411e-08"
"m2a52","namu","m2a","0.101320734637605"
"m2b52","namu","m2b","0.023428177116677"
"m352","namu","m3","0.000379104355298864"
"m4a52","namu","m4a","0.000797816888822218"
"m4b52","namu","m4b","0.87407414458343"
"m153","owikeno","m1","0.670324279223637"
"m2a53","owikeno","m2a","1.12709133743757e-07"
"m2b53","owikeno","m2b","2.80383802937253e-06"
"m353","owikeno","m3","2.52964774422112e-07"
"m4a53","owikeno","m4a","0.0694917640782511"
"m4b53","owikeno","m4b","0.260180787186175"
"m154","port-john","m1","2.2639709804049e-07"
"m2a54","port-john","m2a","2.81319487681871e-07"
"m2b54","port-john","m2b","0.99999733195906"
"m354","port-john","m3","4.50016507428273e-07"
"m4a54","port-john","m4a","1.53953423482345e-06"
"m4b54","port-john","m4b","1.70773612362396e-07"
"m155","price","m1","2.61556975770143e-08"
"m2a55","price","m2a","1.02034340784922e-05"
"m2b55","price","m2b","0.999987383390619"
"m355","price","m3","2.00005459687696e-06"
"m4a55","price","m4a","2.97100423253894e-07"
"m4b55","price","m4b","8.98645846625357e-08"
"m156","prudhomme","m1","1.95576622798768e-07"
"m2a56","prudhomme","m2a","7.63343737572825e-07"
"m2b56","prudhomme","m2b","0.999971458197941"
"m356","prudhomme","m3","6.81941055786731e-07"
"m4a56","prudhomme","m4a","1.39444778455842e-05"
"m4b56","prudhomme","m4b","1.29564627971979e-05"
"m157","shawaltan","m1","7.4241409408867e-08"
"m2a57","shawaltan","m2a","1.48440862461658e-08"
"m2b57","shawaltan","m2b","2.95622516823243e-08"
"m357","shawaltan","m3","8.67448506141538e-07"
"m4a57","shawaltan","m4a","0.99994514866033"
"m4b57","shawaltan","m4b","5.38652434164399e-05"
"m158","sheneeza","m1","1.60994963893145e-08"
"m2a58","sheneeza","m2a","2.79062854772058e-07"
"m2b58","sheneeza","m2b","0.999995947136892"
"m358","sheneeza","m3","3.47633422019378e-08"
"m4a58","sheneeza","m4a","1.03052824380256e-06"
"m4b58","sheneeza","m4b","2.69240917094571e-06"
"m159","skidegate","m1","8.23229770313354e-07"
"m2a59","skidegate","m2a","3.12669128409581e-06"
"m2b59","skidegate","m2b","0.999898264223665"
"m359","skidegate","m3","1.17785776828268e-07"
"m4a59","skidegate","m4a","2.96086604263294e-05"
"m4b59","skidegate","m4b","6.80594090777253e-05"
"m160","slamgeesh","m1","1.25731441196981e-09"
"m2a60","slamgeesh","m2a","6.08535461294999e-06"
"m2b60","slamgeesh","m2b","0.999972485585278"
"m360","slamgeesh","m3","1.17175120392425e-07"
"m4a60","slamgeesh","m4a","1.45766220898099e-05"
"m4b60","slamgeesh","m4b","6.73400558426351e-06"
"m161","stephens","m1","1.60418800215094e-07"
"m2a61","stephens","m2a","3.79574144912296e-07"
"m2b61","stephens","m2b","0.99999873284336"
"m361","stephens","m3","4.87961100101162e-09"
"m4a61","stephens","m4a","5.63859111727887e-07"
"m4b61","stephens","m4b","1.58424971696824e-07"
"m162","sustut","m1","1.32278932248596e-07"
"m2a62","sustut","m2a","2.52307841879656e-07"
"m2b62","sustut","m2b","0.999999080467743"
"m362","sustut","m3","4.31845973255228e-08"
"m4a62","sustut","m4a","3.22166208732484e-07"
"m4b62","sustut","m4b","1.69594676968643e-07"
"m163","swan","m1","1.89102885774178e-06"
"m2a63","swan","m2a","0.999995703442123"
"m2b63","swan","m2b","1.36485866383069e-08"
"m363","swan","m3","6.5251150479144e-08"
"m4a63","swan","m4a","2.31976686837424e-06"
"m4b63","swan","m4b","6.86241352632067e-09"
"m164","tankeeah","m1","8.9247470063481e-09"
"m2a64","tankeeah","m2a","0.000627103171264974"
"m2b64","tankeeah","m2b","0.178904955557241"
"m364","tankeeah","m3","1.73649794665057e-09"
"m4a64","tankeeah","m4a","0.000619501586023363"
"m4b64","tankeeah","m4b","0.819848429024226"
"m165","tuno-east","m1","1.97803380530032e-07"
"m2a65","tuno-east","m2a","0.000643124678986657"
"m2b65","tuno-east","m2b","0.710192869645173"
"m365","tuno-east","m3","4.37384946009951e-08"
"m4a65","tuno-east","m4a","0.288568102423919"
"m4b65","tuno-east","m4b","0.000595661710046658"
"m166","tuno-west","m1","1.79489310382795e-07"
"m2a66","tuno-west","m2a","5.77202194731556e-07"
"m2b66","tuno-west","m2b","0.572307496708592"
"m366","tuno-west","m3","5.8778846937858e-09"
"m4a66","tuno-west","m4a","0.42768952376944"
"m4b66","tuno-west","m4b","2.21695257829335e-06"
"m167","yakoun","m1","2.46872961921057e-07"
"m2a67","yakoun","m2a","0.999989684437406"
"m2b67","yakoun","m2b","1.02112862782485e-06"
"m367","yakoun","m3","2.7234559666119e-09"
"m4a67","yakoun","m4a","8.6038905145725e-06"
"m4b67","yakoun","m4b","4.40947033664152e-07"
"m168","yeo","m1","5.91594257576028e-07"
"m2a68","yeo","m2a","0.544341734527557"
"m2b68","yeo","m2b","0.45565695689292"
"m368","yeo","m3","3.74719536093754e-07"
"m4a68","yeo","m4a","3.39551819349029e-07"
"m4b68","yeo","m4b","2.71391054074144e-09"
