"","Pop","Model","Metric","Estimate","SE"
"elpd_loo","alastair","m1","elpd_loo",-38.2949591566205,6.84105267668516
"p_loo","alastair","m1","p_loo",5.18955722600488,2.66415988699945
"looic","alastair","m1","looic",76.5899183132409,13.6821053533703
"elpd_loo.1","alastair","m2a","elpd_loo",-36.1275673856191,6.29045696878128
"p_loo.1","alastair","m2a","p_loo",3.85762619527235,1.96065814945279
"looic.1","alastair","m2a","looic",72.2551347712382,12.5809139375626
"elpd_loo.2","alastair","m2b","elpd_loo",-35.7796216417056,6.14105749499072
"p_loo.2","alastair","m2b","p_loo",3.62112741736945,1.81988771259742
"looic.2","alastair","m2b","looic",71.5592432834112,12.2821149899814
"elpd_loo.3","alastair","m3","elpd_loo",-38.2781955553804,6.72413782236073
"p_loo.3","alastair","m3","p_loo",4.89013775350952,2.41868767608166
"looic.3","alastair","m3","looic",76.5563911107609,13.4482756447215
"elpd_loo.4","alastair","m4a","elpd_loo",-36.5725332364771,6.41491485204994
"p_loo.4","alastair","m4a","p_loo",4.0114776579122,2.00860156428582
"looic.4","alastair","m4a","looic",73.1450664729542,12.8298297040999
"elpd_loo.5","alastair","m4b","elpd_loo",-36.6323431519676,6.40628891226442
"p_loo.5","alastair","m4b","p_loo",3.96851833607784,1.95882788977553
"looic.5","alastair","m4b","looic",73.2646863039352,12.8125778245288
"elpd_loo1","asitika","m1","elpd_loo",-2977.6877298119,2003.19540150602
"p_loo1","asitika","m1","p_loo",2973.52457354699,2002.17483675602
"looic1","asitika","m1","looic",5955.37545962379,4006.39080301204
"elpd_loo.11","asitika","m2a","elpd_loo",-71.6730491077808,48.8786317259383
"p_loo.11","asitika","m2a","p_loo",67.1727719857376,47.1325276068916
"looic.11","asitika","m2a","looic",143.346098215562,97.7572634518766
"elpd_loo.21","asitika","m2b","elpd_loo",-81.5272572855503,56.2272278029449
"p_loo.21","asitika","m2b","p_loo",77.5804618124559,54.6198543930539
"looic.21","asitika","m2b","looic",163.054514571101,112.45445560589
"elpd_loo.31","asitika","m3","elpd_loo",-5652.20324370603,3634.77910597318
"p_loo.31","asitika","m3","p_loo",5648.22757254559,3633.86545267897
"looic.31","asitika","m3","looic",11304.4064874121,7269.55821194635
"elpd_loo.41","asitika","m4a","elpd_loo",-867.49265558536,783.764715080865
"p_loo.41","asitika","m4a","p_loo",863.450312247642,782.351039190337
"looic.41","asitika","m4a","looic",1734.98531117072,1567.52943016173
"elpd_loo.51","asitika","m4b","elpd_loo",-1214.40792624521,1159.25899141792
"p_loo.51","asitika","m4b","p_loo",1210.72493748687,1157.9426990005
"looic.51","asitika","m4b","looic",2428.81585249041,2318.51798283583
"elpd_loo2","atnarko","m1","elpd_loo",-27.5309320216816,3.39854184137414
"p_loo2","atnarko","m1","p_loo",1.25554127058427,0.773315452051432
"looic2","atnarko","m1","looic",55.0618640433632,6.79708368274828
"elpd_loo.12","atnarko","m2a","elpd_loo",-26.589287425715,5.1131601073723
"p_loo.12","atnarko","m2a","p_loo",1.57376464189687,0.993659714557899
"looic.12","atnarko","m2a","looic",53.17857485143,10.2263202147446
"elpd_loo.22","atnarko","m2b","elpd_loo",-26.9300663748457,5.51741443985169
"p_loo.22","atnarko","m2b","p_loo",1.74502336981447,1.12155622258247
"looic.22","atnarko","m2b","looic",53.8601327496914,11.0348288797034
"elpd_loo.32","atnarko","m3","elpd_loo",-28.0221186246093,3.50984554962639
"p_loo.32","atnarko","m3","p_loo",1.57498895104876,0.934220582772867
"looic.32","atnarko","m3","looic",56.0442372492187,7.01969109925278
"elpd_loo.42","atnarko","m4a","elpd_loo",-26.6107816307821,5.08805112116526
"p_loo.42","atnarko","m4a","p_loo",1.55484502220907,1.04346291672777
"looic.42","atnarko","m4a","looic",53.2215632615641,10.1761022423305
"elpd_loo.52","atnarko","m4b","elpd_loo",-26.7888002333198,5.30484147349855
"p_loo.52","atnarko","m4b","p_loo",1.67728995971218,1.13058611976814
"looic.52","atnarko","m4b","looic",53.5776004666396,10.6096829469971
"elpd_loo3","awun","m1","elpd_loo",-40.531296310496,8.43901603698518
"p_loo3","awun","m1","p_loo",12.2654853297498,7.25065644249333
"looic3","awun","m1","looic",81.062592620992,16.8780320739704
"elpd_loo.13","awun","m2a","elpd_loo",-38.0145235447735,8.05688336010628
"p_loo.13","awun","m2a","p_loo",10.4565575994237,6.67260690538857
"looic.13","awun","m2a","looic",76.029047089547,16.1137667202126
"elpd_loo.23","awun","m2b","elpd_loo",-39.128518906111,9.1573126726819
"p_loo.23","awun","m2b","p_loo",11.4365944486521,7.94690658594829
"looic.23","awun","m2b","looic",78.257037812222,18.3146253453638
"elpd_loo.33","awun","m3","elpd_loo",-37.5836485003281,6.70667358036233
"p_loo.33","awun","m3","p_loo",9.36463561918193,5.30368876903189
"looic.33","awun","m3","looic",75.1672970006561,13.4133471607247
"elpd_loo.43","awun","m4a","elpd_loo",-36.9968739690225,7.2295555862568
"p_loo.43","awun","m4a","p_loo",9.32607538116597,5.65344608845886
"looic.43","awun","m4a","looic",73.9937479380451,14.4591111725136
"elpd_loo.53","awun","m4b","elpd_loo",-36.1888848167365,6.69932476897271
"p_loo.53","awun","m4b","p_loo",8.53670022798282,4.98760294935335
"looic.53","awun","m4b","looic",72.3777696334731,13.3986495379454
"elpd_loo4","azuklotz","m1","elpd_loo",-28.0910712833963,11.6003763836858
"p_loo4","azuklotz","m1","p_loo",13.3893395880754,9.09770615741403
"looic4","azuklotz","m1","looic",56.1821425667926,23.2007527673716
"elpd_loo.14","azuklotz","m2a","elpd_loo",-22.9829655685978,7.86768869059263
"p_loo.14","azuklotz","m2a","p_loo",7.5008076697505,4.41142610662138
"looic.14","azuklotz","m2a","looic",45.9659311371956,15.7353773811853
"elpd_loo.24","azuklotz","m2b","elpd_loo",-23.7368018647624,8.72437728151355
"p_loo.24","azuklotz","m2b","p_loo",8.28681442527143,5.07629368363133
"looic.24","azuklotz","m2b","looic",47.4736037295248,17.4487545630271
"elpd_loo.34","azuklotz","m3","elpd_loo",-24.7095096416593,8.587404244135
"p_loo.34","azuklotz","m3","p_loo",9.8766348449665,5.9737002756283
"looic.34","azuklotz","m3","looic",49.4190192833187,17.17480848827
"elpd_loo.44","azuklotz","m4a","elpd_loo",-23.380204754148,8.13970716735204
"p_loo.44","azuklotz","m4a","p_loo",7.85846849447136,4.69806955918066
"looic.44","azuklotz","m4a","looic",46.760409508296,16.2794143347041
"elpd_loo.54","azuklotz","m4b","elpd_loo",-23.9616579119298,8.81358087296869
"p_loo.54","azuklotz","m4b","p_loo",8.44838046728138,5.30952296254092
"looic.54","azuklotz","m4b","looic",47.9233158238596,17.6271617459374
"elpd_loo5","babine","m1","elpd_loo",-27.7520927142257,1.32705289923441
"p_loo5","babine","m1","p_loo",0.926192748404962,0.121471187365386
"looic5","babine","m1","looic",55.5041854284514,2.65410579846882
"elpd_loo.15","babine","m2a","elpd_loo",-25.9578033101993,1.73530668825197
"p_loo.15","babine","m2a","p_loo",0.79320022066944,0.177621175764217
"looic.15","babine","m2a","looic",51.9156066203985,3.47061337650395
"elpd_loo.25","babine","m2b","elpd_loo",-25.5700365659466,1.78466946917463
"p_loo.25","babine","m2b","p_loo",0.832619804139126,0.201465898372551
"looic.25","babine","m2b","looic",51.1400731318932,3.56933893834927
"elpd_loo.35","babine","m3","elpd_loo",-27.4218368218328,1.33222875213064
"p_loo.35","babine","m3","p_loo",0.864160345014487,0.113250724080054
"looic.35","babine","m3","looic",54.8436736436656,2.66445750426128
"elpd_loo.45","babine","m4a","elpd_loo",-25.8777749880765,1.67887138759392
"p_loo.45","babine","m4a","p_loo",0.764132093967755,0.156913587799919
"looic.45","babine","m4a","looic",51.755549976153,3.35774277518784
"elpd_loo.55","babine","m4b","elpd_loo",-25.697849893683,1.74139522867157
"p_loo.55","babine","m4b","p_loo",0.7875251229641,0.169570367356337
"looic.55","babine","m4b","looic",51.3956997873661,3.48279045734313
"elpd_loo6","banks","m1","elpd_loo",-30.0999211065534,5.06793398864239
"p_loo6","banks","m1","p_loo",10.6778456134326,3.00813223029159
"looic6","banks","m1","looic",60.1998422131068,10.1358679772848
"elpd_loo.16","banks","m2a","elpd_loo",-25.598305696469,4.08261117164223
"p_loo.16","banks","m2a","p_loo",7.23215922855547,2.04120135248197
"looic.16","banks","m2a","looic",51.196611392938,8.16522234328446
"elpd_loo.26","banks","m2b","elpd_loo",-25.029267938223,3.94386164309851
"p_loo.26","banks","m2b","p_loo",7.1928576251491,2.02159255368807
"looic.26","banks","m2b","looic",50.058535876446,7.88772328619702
"elpd_loo.36","banks","m3","elpd_loo",-29.2800259213611,4.88453812304864
"p_loo.36","banks","m3","p_loo",10.2899245623891,2.92897729724402
"looic.36","banks","m3","looic",58.5600518427222,9.76907624609728
"elpd_loo.46","banks","m4a","elpd_loo",-25.8289863186013,4.06820022791116
"p_loo.46","banks","m4a","p_loo",7.35369347381547,2.04607845224756
"looic.46","banks","m4a","looic",51.6579726372025,8.13640045582231
"elpd_loo.56","banks","m4b","elpd_loo",-25.6036202481548,4.0095560980421
"p_loo.56","banks","m4b","p_loo",7.44587015076596,2.06761932786257
"looic.56","banks","m4b","looic",51.2072404963095,8.01911219608421
"elpd_loo7","bear","m1","elpd_loo",-18.7212618652517,2.95637317427558
"p_loo7","bear","m1","p_loo",3.38485226916127,1.23944713993721
"looic7","bear","m1","looic",37.4425237305035,5.91274634855117
"elpd_loo.17","bear","m2a","elpd_loo",-17.5383541829766,3.68215254455451
"p_loo.17","bear","m2a","p_loo",3.04077974402175,1.29469297782236
"looic.17","bear","m2a","looic",35.0767083659532,7.36430508910902
"elpd_loo.27","bear","m2b","elpd_loo",-16.7245926798881,3.2349971732912
"p_loo.27","bear","m2b","p_loo",2.79408445452419,1.21336716885341
"looic.27","bear","m2b","looic",33.4491853597763,6.46999434658239
"elpd_loo.37","bear","m3","elpd_loo",-19.8742321885329,2.38383793612552
"p_loo.37","bear","m3","p_loo",2.55901043425662,0.827889053708869
"looic.37","bear","m3","looic",39.7484643770658,4.76767587225103
"elpd_loo.47","bear","m4a","elpd_loo",-17.7688655435074,3.64551568970208
"p_loo.47","bear","m4a","p_loo",3.00076145046472,1.19580220368735
"looic.47","bear","m4a","looic",35.5377310870147,7.29103137940415
"elpd_loo.57","bear","m4b","elpd_loo",-17.6062958664,3.49924648603384
"p_loo.57","bear","m4b","p_loo",3.22758953425369,1.31492784667019
"looic.57","bear","m4b","looic",35.2125917328,6.99849297206768
"elpd_loo8","bloomfield","m1","elpd_loo",-27.7250657606912,2.68780284180823
"p_loo8","bloomfield","m1","p_loo",2.84376164722888,1.29100341620151
"looic8","bloomfield","m1","looic",55.4501315213824,5.37560568361647
"elpd_loo.18","bloomfield","m2a","elpd_loo",-27.0497151391665,3.56292804444242
"p_loo.18","bloomfield","m2a","p_loo",3.35563070588491,1.98791830714357
"looic.18","bloomfield","m2a","looic",54.099430278333,7.12585608888483
"elpd_loo.28","bloomfield","m2b","elpd_loo",-26.6983347244354,3.47964665026197
"p_loo.28","bloomfield","m2b","p_loo",3.15646571076162,1.91490467559863
"looic.28","bloomfield","m2b","looic",53.3966694488708,6.95929330052395
"elpd_loo.38","bloomfield","m3","elpd_loo",-34.987406776876,5.47513073391941
"p_loo.38","bloomfield","m3","p_loo",4.66258797945885,3.26146549435686
"looic.38","bloomfield","m3","looic",69.9748135537521,10.9502614678388
"elpd_loo.48","bloomfield","m4a","elpd_loo",-31.7806286282352,5.84836756978776
"p_loo.48","bloomfield","m4a","p_loo",4.89974910864793,3.52050529606078
"looic.48","bloomfield","m4a","looic",63.5612572564705,11.6967351395755
"elpd_loo.58","bloomfield","m4b","elpd_loo",-32.2035893374661,6.42114309467186
"p_loo.58","bloomfield","m4b","p_loo",5.60048241084936,4.21043158610327
"looic.58","bloomfield","m4b","looic",64.4071786749323,12.8422861893437
"elpd_loo9","bonilla","m1","elpd_loo",-25.0279639002658,2.82393269428384
"p_loo9","bonilla","m1","p_loo",2.09751919592736,0.562484552114852
"looic9","bonilla","m1","looic",50.0559278005316,5.64786538856767
"elpd_loo.19","bonilla","m2a","elpd_loo",-23.7036368429387,2.72877959129711
"p_loo.19","bonilla","m2a","p_loo",1.64875743681288,0.429879970842851
"looic.19","bonilla","m2a","looic",47.4072736858773,5.45755918259422
"elpd_loo.29","bonilla","m2b","elpd_loo",-23.6869090692044,2.76927441463426
"p_loo.29","bonilla","m2b","p_loo",1.60616176645945,0.426765048799886
"looic.29","bonilla","m2b","looic",47.3738181384087,5.53854882926851
"elpd_loo.39","bonilla","m3","elpd_loo",-24.9242453018873,2.92650938136303
"p_loo.39","bonilla","m3","p_loo",2.19919942832802,0.628586372655072
"looic.39","bonilla","m3","looic",49.8484906037745,5.85301876272607
"elpd_loo.49","bonilla","m4a","elpd_loo",-23.8460738437489,2.78544694433196
"p_loo.49","bonilla","m4a","p_loo",1.70898291946404,0.454515867753328
"looic.49","bonilla","m4a","looic",47.6921476874977,5.57089388866391
"elpd_loo.59","bonilla","m4b","elpd_loo",-23.9152409397408,2.82746355532797
"p_loo.59","bonilla","m4b","p_loo",1.73579844303651,0.462643283251378
"looic.59","bonilla","m4b","looic",47.8304818794817,5.65492711065595
"elpd_loo10","borrowman","m1","elpd_loo",-500.88385961879,446.021116615258
"p_loo10","borrowman","m1","p_loo",486.647149998124,444.579026511917
"looic10","borrowman","m1","looic",1001.76771923758,892.042233230516
"elpd_loo.110","borrowman","m2a","elpd_loo",-108.752970778109,95.1185570111014
"p_loo.110","borrowman","m2a","p_loo",95.9961563670309,93.8437767659482
"looic.110","borrowman","m2a","looic",217.505941556219,190.237114022203
"elpd_loo.210","borrowman","m2b","elpd_loo",-91.9182935138141,78.8141966319628
"p_loo.210","borrowman","m2b","p_loo",79.2727063269703,77.5294823316458
"looic.210","borrowman","m2b","looic",183.836587027628,157.628393263926
"elpd_loo.310","borrowman","m3","elpd_loo",-632.783992236706,559.638765753107
"p_loo.310","borrowman","m3","p_loo",614.781159864582,556.341361362228
"looic.310","borrowman","m3","looic",1265.56798447341,1119.27753150621
"elpd_loo.410","borrowman","m4a","elpd_loo",-232.899460448547,208.969805101963
"p_loo.410","borrowman","m4a","p_loo",218.647729777553,206.752443938199
"looic.410","borrowman","m4a","looic",465.798920897095,417.939610203927
"elpd_loo.510","borrowman","m4b","elpd_loo",-223.85946350524,200.07047976728
"p_loo.510","borrowman","m4b","p_loo",209.952865469175,198.037076731176
"looic.510","borrowman","m4b","looic",447.718927010481,400.14095953456
"elpd_loo11","bowser","m1","elpd_loo",-34.1524703960337,10.2659212242556
"p_loo11","bowser","m1","p_loo",21.8660586095748,7.79810971899154
