"","Pop","Model","Metric","Estimate","SE"
"looic11","bowser","m1","looic",68.3049407920674,20.5318424485112
"elpd_loo.111","bowser","m2a","elpd_loo",-20.224931099379,4.96735686289196
"p_loo.111","bowser","m2a","p_loo",8.80370983208427,3.04228805281722
"looic.111","bowser","m2a","looic",40.4498621987579,9.93471372578393
"elpd_loo.211","bowser","m2b","elpd_loo",-19.0108964840256,4.5478232631207
"p_loo.211","bowser","m2b","p_loo",7.67223902195637,2.66138965060266
"looic.211","bowser","m2b","looic",38.0217929680511,9.0956465262414
"elpd_loo.311","bowser","m3","elpd_loo",-16.4771629265069,0.720893218533736
"p_loo.311","bowser","m3","p_loo",0.969246335670563,0.162143794227297
"looic.311","bowser","m3","looic",32.9543258530139,1.44178643706747
"elpd_loo.411","bowser","m4a","elpd_loo",-21.8757936832789,1.98473735763431
"p_loo.411","bowser","m4a","p_loo",2.60897467883414,0.513620798886367
"looic.411","bowser","m4a","looic",43.7515873665578,3.96947471526861
"elpd_loo.511","bowser","m4b","elpd_loo",-21.0881054135435,1.96428287603622
"p_loo.511","bowser","m4b","p_loo",2.48229176076958,0.510691637190016
"looic.511","bowser","m4b","looic",42.1762108270869,3.92856575207244
"elpd_loo12","canoona","m1","elpd_loo",-14.7514006928763,1.99943559736933
"p_loo12","canoona","m1","p_loo",2.32044172611685,0.545577081777949
"looic12","canoona","m1","looic",29.5028013857526,3.99887119473866
"elpd_loo.112","canoona","m2a","elpd_loo",-14.4623911397098,1.80368010810798
"p_loo.112","canoona","m2a","p_loo",1.53054589861894,0.349699428558539
"looic.112","canoona","m2a","looic",28.9247822794196,3.60736021621595
"elpd_loo.212","canoona","m2b","elpd_loo",-15.1912503259549,1.91742333740317
"p_loo.212","canoona","m2b","p_loo",1.65082528042854,0.379613050748631
"looic.212","canoona","m2b","looic",30.3825006519097,3.83484667480635
"elpd_loo.312","canoona","m3","elpd_loo",-14.8488258819371,2.09620265005093
"p_loo.312","canoona","m3","p_loo",2.25038201411725,0.549086812617719
"looic.312","canoona","m3","looic",29.6976517638741,4.19240530010186
"elpd_loo.412","canoona","m4a","elpd_loo",-14.6547037052081,1.84073154309222
"p_loo.412","canoona","m4a","p_loo",1.6450157526917,0.394473855302191
"looic.412","canoona","m4a","looic",29.3094074104162,3.68146308618445
"elpd_loo.512","canoona","m4b","elpd_loo",-14.7111655192755,1.88315543934257
"p_loo.512","canoona","m4b","p_loo",1.60544593925065,0.395070279234672
"looic.512","canoona","m4b","looic",29.422331038551,3.76631087868514
"elpd_loo13","curtis-inlet","m1","elpd_loo",-86.8890622858745,55.523196224853
"p_loo13","curtis-inlet","m1","p_loo",61.1477018809296,54.5602553259382
"looic13","curtis-inlet","m1","looic",173.778124571749,111.046392449706
"elpd_loo.113","curtis-inlet","m2a","elpd_loo",-74.4466389141641,43.9992970036161
"p_loo.113","curtis-inlet","m2a","p_loo",48.1419659522608,42.8782879663617
"looic.113","curtis-inlet","m2a","looic",148.893277828328,87.9985940072323
"elpd_loo.213","curtis-inlet","m2b","elpd_loo",-74.2999986314029,44.140308308419
"p_loo.213","curtis-inlet","m2b","p_loo",48.2373525729734,43.1391131164208
"looic.213","curtis-inlet","m2b","looic",148.599997262806,88.280616616838
"elpd_loo.313","curtis-inlet","m3","elpd_loo",-78.8994008730751,48.3791083650471
"p_loo.313","curtis-inlet","m3","p_loo",53.3110937857549,47.3853327810772
"looic.313","curtis-inlet","m3","looic",157.79880174615,96.7582167300942
"elpd_loo.413","curtis-inlet","m4a","elpd_loo",-72.9251173687942,42.6179751723798
"p_loo.413","curtis-inlet","m4a","p_loo",46.6317126194061,41.3929513466269
"looic.413","curtis-inlet","m4a","looic",145.850234737588,85.2359503447596
"elpd_loo.513","curtis-inlet","m4b","elpd_loo",-78.235508126432,47.7398812379045
"p_loo.513","curtis-inlet","m4b","p_loo",52.1086659335768,46.6741488752954
"looic.513","curtis-inlet","m4b","looic",156.471016252864,95.479762475809
"elpd_loo14","damdochax","m1","elpd_loo",-12.7141350390612,0.691467062974185
"p_loo14","damdochax","m1","p_loo",0.988971437057659,0.148492533737227
"looic14","damdochax","m1","looic",25.4282700781225,1.38293412594837
"elpd_loo.114","damdochax","m2a","elpd_loo",-11.3389556818529,1.17184150629408
"p_loo.114","damdochax","m2a","p_loo",0.605204886865534,0.189654560883919
"looic.114","damdochax","m2a","looic",22.6779113637057,2.34368301258817
"elpd_loo.214","damdochax","m2b","elpd_loo",-11.0795185074513,1.07892844916808
"p_loo.214","damdochax","m2b","p_loo",0.640405009708636,0.208988560737495
"looic.214","damdochax","m2b","looic",22.1590370149027,2.15785689833616
"elpd_loo.314","damdochax","m3","elpd_loo",-11.8253084312094,0.674172903642375
"p_loo.314","damdochax","m3","p_loo",0.866728164326374,0.0859377690566468
"looic.314","damdochax","m3","looic",23.6506168624188,1.34834580728475
"elpd_loo.414","damdochax","m4a","elpd_loo",-10.4746300040549,1.03041159041478
"p_loo.414","damdochax","m4a","p_loo",0.561314152660847,0.151311127399646
"looic.414","damdochax","m4a","looic",20.9492600081097,2.06082318082956
"elpd_loo.514","damdochax","m4b","elpd_loo",-10.4216616509356,0.951946386325031
"p_loo.514","damdochax","m4b","p_loo",0.553318900767638,0.136290033016809
"looic.514","damdochax","m4b","looic",20.8433233018712,1.90389277265006
"elpd_loo15","devon","m1","elpd_loo",-19.8576652849986,2.01799687900444
"p_loo15","devon","m1","p_loo",2.12094459755942,0.485810863032143
"looic15","devon","m1","looic",39.7153305699972,4.03599375800888
"elpd_loo.115","devon","m2a","elpd_loo",-19.4041274778663,1.76378181398989
"p_loo.115","devon","m2a","p_loo",1.61847456425478,0.404114692945834
"looic.115","devon","m2a","looic",38.8082549557327,3.52756362797978
"elpd_loo.215","devon","m2b","elpd_loo",-19.4387510753254,1.78507285284362
"p_loo.215","devon","m2b","p_loo",1.5618924097261,0.386189194153326
"looic.215","devon","m2b","looic",38.8775021506507,3.57014570568725
"elpd_loo.315","devon","m3","elpd_loo",-19.5953359889562,2.00950462502509
"p_loo.315","devon","m3","p_loo",2.0038445741717,0.463095539479753
"looic.315","devon","m3","looic",39.1906719779125,4.01900925005018
"elpd_loo.415","devon","m4a","elpd_loo",-19.3892060433174,1.75421902121322
"p_loo.415","devon","m4a","p_loo",1.61869802036903,0.382615174392841
"looic.415","devon","m4a","looic",38.7784120866348,3.50843804242645
"elpd_loo.515","devon","m4b","elpd_loo",-19.5463191538829,1.7736121566159
"p_loo.515","devon","m4b","p_loo",1.66234280354181,0.394426828704291
"looic.515","devon","m4b","looic",39.0926383077659,3.54722431323181
"elpd_loo16","evelyn","m1","elpd_loo",-22.8483235026642,1.13319071241146
"p_loo16","evelyn","m1","p_loo",1.59365245295503,0.547353580415188
"looic16","evelyn","m1","looic",45.6966470053284,2.26638142482293
"elpd_loo.116","evelyn","m2a","elpd_loo",-21.165689554374,1.45161240504
"p_loo.116","evelyn","m2a","p_loo",1.89500901013396,0.918401617885383
"looic.116","evelyn","m2a","looic",42.331379108748,2.90322481008
"elpd_loo.216","evelyn","m2b","elpd_loo",-20.8954765866507,1.28246213859753
"p_loo.216","evelyn","m2b","p_loo",1.55519114013647,0.645622039763545
"looic.216","evelyn","m2b","looic",41.7909531733014,2.56492427719506
"elpd_loo.316","evelyn","m3","elpd_loo",-22.1069573881843,1.66588760500183
"p_loo.316","evelyn","m3","p_loo",2.00874916762804,1.11023773292433
"looic.316","evelyn","m3","looic",44.2139147763686,3.33177521000367
"elpd_loo.416","evelyn","m4a","elpd_loo",-20.5752568163932,1.87454597305079
"p_loo.416","evelyn","m4a","p_loo",1.92971940325836,1.2324596321135
"looic.416","evelyn","m4a","looic",41.1505136327863,3.74909194610159
"elpd_loo.516","evelyn","m4b","elpd_loo",-20.4596966920881,1.77057108782512
"p_loo.516","evelyn","m4b","p_loo",1.80777557408722,1.12577521750539
"looic.516","evelyn","m4b","looic",40.9193933841762,3.54114217565023
"elpd_loo17","fairfax","m1","elpd_loo",-53.3918310951011,38.2186297649528
"p_loo17","fairfax","m1","p_loo",41.4166552338144,35.8518562003138
"looic17","fairfax","m1","looic",106.783662190202,76.4372595299057
"elpd_loo.117","fairfax","m2a","elpd_loo",-31.8198226918892,20.040602632956
"p_loo.117","fairfax","m2a","p_loo",20.9048388502187,18.5192448138367
"looic.117","fairfax","m2a","looic",63.6396453837785,40.081205265912
"elpd_loo.217","fairfax","m2b","elpd_loo",-31.1162692066931,19.4507972207057
"p_loo.217","fairfax","m2b","p_loo",20.3925806635138,18.1322950255638
"looic.217","fairfax","m2b","looic",62.2325384133862,38.9015944414114
"elpd_loo.317","fairfax","m3","elpd_loo",-48.436845981039,33.2959353567554
"p_loo.317","fairfax","m3","p_loo",35.8823965670306,30.5166729869394
"looic.317","fairfax","m3","looic",96.8736919620781,66.5918707135107
"elpd_loo.417","fairfax","m4a","elpd_loo",-34.2711053956917,21.9519095822135
"p_loo.417","fairfax","m4a","p_loo",22.7567919642236,19.9924953183572
"looic.417","fairfax","m4a","looic",68.5422107913833,43.903819164427
"elpd_loo.517","fairfax","m4b","elpd_loo",-35.6934227184715,23.532941107947
"p_loo.517","fairfax","m4b","p_loo",24.2423641154909,21.6444428900088
"looic.517","fairfax","m4b","looic",71.386845436943,47.0658822158939
"elpd_loo18","fred-wright","m1","elpd_loo",-13.9345186212597,2.88303985143283
"p_loo18","fred-wright","m1","p_loo",3.29231221164592,1.47767220873622
"looic18","fred-wright","m1","looic",27.8690372425194,5.76607970286566
"elpd_loo.118","fred-wright","m2a","elpd_loo",-15.2210071361431,3.21441153667889
"p_loo.118","fred-wright","m2a","p_loo",2.34524308999933,1.06569779758854
"looic.118","fred-wright","m2a","looic",30.4420142722862,6.42882307335778
"elpd_loo.218","fred-wright","m2b","elpd_loo",-14.313301844646,3.04802031017468
"p_loo.218","fred-wright","m2b","p_loo",2.33238502388171,1.0584732829232
"looic.218","fred-wright","m2b","looic",28.626603689292,6.09604062034936
"elpd_loo.318","fred-wright","m3","elpd_loo",-13.6648617057913,3.34845720519659
"p_loo.318","fred-wright","m3","p_loo",3.43327776007812,1.85464116773465
"looic.318","fred-wright","m3","looic",27.3297234115826,6.69691441039318
"elpd_loo.418","fred-wright","m4a","elpd_loo",-14.2148957060563,3.26248438087705
"p_loo.418","fred-wright","m4a","p_loo",2.57189142326296,1.29233882053576
"looic.418","fred-wright","m4a","looic",28.4297914121125,6.5249687617541
"elpd_loo.518","fred-wright","m4b","elpd_loo",-13.4157412477808,3.0296735073653
"p_loo.518","fred-wright","m4b","p_loo",2.37387298861937,1.14293882287735
"looic.518","fred-wright","m4b","looic",26.8314824955616,6.05934701473061
"elpd_loo19","freeda-lakes","m1","elpd_loo",-9.63085988918224,1.17530456693075
"p_loo19","freeda-lakes","m1","p_loo",1.55573317122643,0.469555868914258
"looic19","freeda-lakes","m1","looic",19.2617197783645,2.3506091338615
"elpd_loo.119","freeda-lakes","m2a","elpd_loo",-8.67645672779465,1.401136839025
"p_loo.119","freeda-lakes","m2a","p_loo",1.59696754774696,0.724733521176747
"looic.119","freeda-lakes","m2a","looic",17.3529134555893,2.80227367805
"elpd_loo.219","freeda-lakes","m2b","elpd_loo",-8.6214698488666,1.39027314158952
"p_loo.219","freeda-lakes","m2b","p_loo",1.57368420804897,0.728168217891246
"looic.219","freeda-lakes","m2b","looic",17.2429396977332,2.78054628317905
"elpd_loo.319","freeda-lakes","m3","elpd_loo",-9.87158728457778,1.24184195039244
"p_loo.319","freeda-lakes","m3","p_loo",1.27669150386167,0.340674164587774
"looic.319","freeda-lakes","m3","looic",19.7431745691556,2.48368390078488
"elpd_loo.419","freeda-lakes","m4a","elpd_loo",-9.17681959647127,1.60221482924764
"p_loo.419","freeda-lakes","m4a","p_loo",1.33928516854663,0.573651969807879
"looic.419","freeda-lakes","m4a","looic",18.3536391929425,3.20442965849529
"elpd_loo.519","freeda-lakes","m4b","elpd_loo",-9.21636261318536,1.61441734863421
"p_loo.519","freeda-lakes","m4b","p_loo",1.34388260423137,0.577498112616266
"looic.519","freeda-lakes","m4b","looic",18.4327252263707,3.22883469726842
"elpd_loo20","hartley-bay","m1","elpd_loo",-9.08357472522309,2.70919199358639
"p_loo20","hartley-bay","m1","p_loo",3.08583652521261,1.01056985747778
"looic20","hartley-bay","m1","looic",18.1671494504462,5.41838398717278
"elpd_loo.120","hartley-bay","m2a","elpd_loo",-9.50754809494738,1.81299050905405
"p_loo.120","hartley-bay","m2a","p_loo",1.72828029307462,0.499794808633164
"looic.120","hartley-bay","m2a","looic",19.0150961898948,3.62598101810809
"elpd_loo.220","hartley-bay","m2b","elpd_loo",-9.69455453121845,1.9178626674909
"p_loo.220","hartley-bay","m2b","p_loo",1.66975052694867,0.48381816043449
"looic.220","hartley-bay","m2b","looic",19.3891090624369,3.8357253349818
"elpd_loo.320","hartley-bay","m3","elpd_loo",-7.33450603955968,2.35366297761276
"p_loo.320","hartley-bay","m3","p_loo",2.5405791588466,0.800410735158884
"looic.320","hartley-bay","m3","looic",14.6690120791194,4.70732595522551
