"","Pop","Model","Weight"
"m316","evelyn","m3","5.12540623366802e-08"
"m4a16","evelyn","m4a","7.95308273251969e-06"
"m4b16","evelyn","m4b","0.849960575662028"
"m117","fairfax","m1","2.32472268996219e-07"
"m2a17","fairfax","m2a","2.43846421476377e-05"
"m2b17","fairfax","m2b","0.99991371802575"
"m317","fairfax","m3","2.45551415833949e-09"
"m4a17","fairfax","m4a","5.72065311430907e-05"
"m4b17","fairfax","m4b","4.45587317565721e-06"
"m118","fred-wright","m1","1.93674554655631e-06"
"m2a18","fred-wright","m2a","5.85394802641087e-10"
"m2b18","fred-wright","m2b","5.86076825972839e-07"
"m318","fred-wright","m3","4.41495991463189e-06"
"m4a18","fred-wright","m4a","1.10376233538072e-06"
"m4b18","fred-wright","m4b","0.999991957869983"
"m119","freeda-lakes","m1","2.09716430359317e-09"
"m2a19","freeda-lakes","m2a","0.421761215706097"
"m2b19","freeda-lakes","m2b","0.578236470441645"
"m319","freeda-lakes","m3","2.41291032511269e-07"
"m4a19","freeda-lakes","m4a","2.03605845308404e-06"
"m4b19","freeda-lakes","m4b","3.44056078072086e-08"
"m120","hartley-bay","m1","1.97964150894897e-08"
"m2a20","hartley-bay","m2a","3.92946503882113e-08"
"m2b20","hartley-bay","m2b","3.58354161925932e-09"
"m320","hartley-bay","m3","0.97871743126455"
"m4a20","hartley-bay","m4a","0.00079559207130342"
"m4b20","hartley-bay","m4b","0.0204869139895393"
"m121","hauyat","m1","0.221863101856662"
"m2a21","hauyat","m2a","1.11545904058063e-07"
"m2b21","hauyat","m2b","1.45808974044293e-09"
"m321","hauyat","m3","4.33125093067098e-07"
"m4a21","hauyat","m4a","6.08931029259409e-07"
"m4b21","hauyat","m4b","0.778135743083222"
"m122","johanson","m1","2.56418918904728e-08"
"m2a22","johanson","m2a","2.27895229824889e-09"
"m2b22","johanson","m2b","3.5049824712152e-10"
"m322","johanson","m3","3.2823808043069e-08"
"m4a22","johanson","m4a","0.999999760488248"
"m4b22","johanson","m4b","1.78416601603892e-07"
"m123","johnston","m1","4.17080428057005e-09"
"m2a23","johnston","m2a","7.04988702167988e-05"
"m2b23","johnston","m2b","0.99992563989617"
"m323","johnston","m3","2.39077126782005e-07"
"m4a23","johnston","m4a","3.36973018100727e-06"
"m4b23","johnston","m4b","2.48255501378303e-07"
"m124","kadjusdis","m1","3.6947967278741e-08"
"m2a24","kadjusdis","m2a","3.71345999939734e-06"
"m2b24","kadjusdis","m2b","0.908645087776454"
"m324","kadjusdis","m3","8.08709476802861e-07"
"m4a24","kadjusdis","m4a","0.000106225931034293"
"m4b24","kadjusdis","m4b","0.0912441271750687"
"m125","kainet","m1","1.95501475297848e-08"
"m2a25","kainet","m2a","3.00435912789166e-07"
"m2b25","kainet","m2b","6.93577919792127e-08"
"m325","kainet","m3","4.69535285852412e-06"
"m4a25","kainet","m4a","0.998768162792946"
"m4b25","kainet","m4b","0.00122675251034288"
"m126","kdelmashan","m1","2.25894620297505e-08"
"m2a26","kdelmashan","m2a","0.652903070959885"
"m2b26","kdelmashan","m2b","1.93761757741857e-06"
"m326","kdelmashan","m3","1.10059489461807e-07"
"m4a26","kdelmashan","m4a","0.347058447100578"
"m4b26","kdelmashan","m4b","3.64116730084962e-05"
"m127","keecha","m1","7.96369845900989e-08"
"m2a27","keecha","m2a","0.213506415720236"
"m2b27","keecha","m2b","7.36326303105484e-06"
"m327","keecha","m3","9.99737091552628e-08"
"m4a27","keecha","m4a","2.17584982813535e-05"
"m4b27","keecha","m4b","0.786464282907758"
"m128","keswar","m1","8.30885480273243e-08"
"m2a28","keswar","m2a","0.999930921670773"
"m2b28","keswar","m2b","5.4436476226918e-06"
"m328","keswar","m3","9.95889148407753e-09"
"m4a28","keswar","m4a","6.05285240512205e-05"
"m4b28","keswar","m4b","3.01311011308147e-06"
"m129","kimsquit","m1","1.86655936844672e-07"
"m2a29","kimsquit","m2a","7.49431743125912e-10"
"m2b29","kimsquit","m2b","0.522882079532993"
"m329","kimsquit","m3","0.477116790585014"
"m4a29","kimsquit","m4a","7.15808385225789e-07"
"m4b29","kimsquit","m4b","2.26668238956229e-07"
"m130","kisameet","m1","3.14424309282257e-08"
"m2a30","kisameet","m2a","1.62078494958176e-07"
"m2b30","kisameet","m2b","0.365843477196627"
"m330","kisameet","m3","5.07066680905903e-09"
"m4a30","kisameet","m4a","9.259615861814e-08"
"m4b30","kisameet","m4b","0.634156231615622"
"m131","kitkiata","m1","4.08742427914563e-09"
"m2a31","kitkiata","m2a","1.24167155157995e-06"
"m2b31","kitkiata","m2b","0.999998454190116"
"m331","kitkiata","m3","1.16663222877894e-08"
"m4a31","kitkiata","m4a","1.13901778690206e-07"
"m4b31","kitkiata","m4b","1.74482807313581e-07"
"m132","kitlope","m1","1.5801471871312e-07"
"m2a32","kitlope","m2a","1.18467657409798e-06"
"m2b32","kitlope","m2b","0.999988870793903"
"m332","kitlope","m3","1.10092753508244e-06"
"m4a32","kitlope","m4a","1.92131420574467e-06"
"m4b32","kitlope","m4b","6.7642730635642e-06"
"m133","kitsumkalum","m1","4.36148514045156e-07"
"m2a33","kitsumkalum","m2a","0.917424480079143"
"m2b33","kitsumkalum","m2b","0.0825715949212047"
"m333","kitsumkalum","m3","1.69595350840748e-06"
"m4a33","kitsumkalum","m4a","1.9531585102432e-07"
"m4b33","kitsumkalum","m4b","1.59758177897817e-06"
"m134","kitwancool","m1","2.97691379290446e-07"
"m2a34","kitwancool","m2a","1.06656478381639e-07"
"m2b34","kitwancool","m2b","6.27553415943148e-07"
"m334","kitwancool","m3","8.06194129560216e-08"
"m4a34","kitwancool","m4a","0.999996749810103"
"m4b34","kitwancool","m4b","2.1376692100894e-06"
"m135","koeye","m1","8.04034999943632e-08"
"m2a35","koeye","m2a","5.53287839383422e-06"
"m2b35","koeye","m2b","2.58507393039612e-06"
"m335","koeye","m3","1.94660295629852e-07"
"m4a35","koeye","m4a","0.998920122458467"
"m4b35","koeye","m4b","0.0010714845254135"
"m136","kooryet","m1","9.79656599687462e-10"
"m2a36","kooryet","m2a","3.48006902517319e-06"
"m2b36","kooryet","m2b","5.35098569018682e-07"
"m336","kooryet","m3","0.277471236087898"
"m4a36","kooryet","m4a","0.722522249649529"
"m4b36","kooryet","m4b","2.49811532171407e-06"
"m137","kwakwa","m1","1.38889287176615e-09"
"m2a37","kwakwa","m2a","0.338368115006155"
"m2b37","kwakwa","m2b","0.261280997207944"
"m337","kwakwa","m3","4.77203314950306e-08"
"m4a37","kwakwa","m4a","0.389763172958348"
"m4b37","kwakwa","m4b","0.010587665718329"
"m138","lakelse","m1","2.2260475455678e-07"
"m2a38","lakelse","m2a","4.89402112356765e-07"
"m2b38","lakelse","m2b","0.999825338188695"
"m338","lakelse","m3","1.07172022893507e-07"
"m4a38","lakelse","m4a","0.000120474653865324"
"m4b38","lakelse","m4b","5.336797854949e-05"
"m139","long","m1","0.725562711603611"
"m2a39","long","m2a","1.19786117034463e-07"
"m2b39","long","m2b","2.29438339482379e-07"
"m339","long","m3","0.274432489107636"
"m4a39","long","m4a","1.05763949144781e-06"
"m4b39","long","m4b","3.39242480518198e-06"
"m140","lowe","m1","1.74400973873274e-08"
"m2a40","lowe","m2a","4.15529992524151e-07"
"m2b40","lowe","m2b","8.08404822519769e-07"
"m340","lowe","m3","2.27380737393857e-07"
"m4a40","lowe","m4a","0.999994541147771"
"m4b40","lowe","m4b","3.9900965789208e-06"
"m141","marian-eden","m1","1.00450630992526e-09"
"m2a41","marian-eden","m2a","2.51295619374739e-07"
"m2b41","marian-eden","m2b","3.73715094851957e-05"
"m341","marian-eden","m3","0.999918846304856"
"m4a41","marian-eden","m4a","5.00881863347406e-06"
"m4b41","marian-eden","m4b","3.85210668996105e-05"
"m142","mary-cove","m1","4.06186301258064e-08"
"m2a42","mary-cove","m2a","0.00231716621050953"
"m2b42","mary-cove","m2b","0.997682538820216"
"m342","mary-cove","m3","1.28890719172183e-08"
"m4a42","mary-cove","m4a","2.13361794602147e-07"
"m4b42","mary-cove","m4b","2.80997780599535e-08"
"m143","mathers","m1","7.27247763291017e-09"
"m2a43","mathers","m2a","1.99453845468403e-07"
"m2b43","mathers","m2b","9.86344083886584e-08"
"m343","mathers","m3","3.51656476905322e-07"
"m4a43","mathers","m4a","8.86323764066796e-06"
"m4b43","mathers","m4b","0.999990479745151"
"m144","mcdonell","m1","1.11989303963607e-08"
"m2a44","mcdonell","m2a","2.07511935988321e-06"
"m2b44","mcdonell","m2b","0.999994060277549"
"m344","mcdonell","m3","1.36484372635753e-07"
"m4a44","mcdonell","m4a","2.63806917014164e-06"
"m4b44","mcdonell","m4b","1.07885061784163e-06"
"m145","mcloughlin","m1","1.15124203676291e-09"
"m2a45","mcloughlin","m2a","2.86628386422317e-07"
"m2b45","mcloughlin","m2b","0.274353706130561"
"m345","mcloughlin","m3","1.94338052770268e-06"
"m4a45","mcloughlin","m4a","0.725503619165263"
"m4b45","mcloughlin","m4b","0.00014044354401932"
"m146","mercer","m1","5.71922016416597e-08"
"m2a46","mercer","m2a","4.69901591764796e-07"
"m2b46","mercer","m2b","1.12825290368501e-06"
"m346","mercer","m3","5.96706533896105e-07"
"m4a46","mercer","m4a","1.61214708280604e-05"
"m4b46","mercer","m4b","0.999981626475941"
"m147","meziadin","m1","1.25085344928053e-07"
"m2a47","meziadin","m2a","1.65864044202163e-09"
"m2b47","meziadin","m2b","1.41418324615156e-07"
"m347","meziadin","m3","6.76329610658149e-08"
"m4a47","meziadin","m4a","0.596324521935623"
"m4b47","meziadin","m4b","0.403675142269106"
"m148","mikado","m1","8.48490032210976e-06"
"m2a48","mikado","m2a","0.610833684353458"
"m2b48","mikado","m2b","1.55715163307113e-06"
"m348","mikado","m3","0.389156242160152"
"m4a48","mikado","m4a","2.29799424760514e-08"
"m4b48","mikado","m4b","8.45449266151377e-09"
"m149","morice","m1","0.0245191656784354"
"m2a49","morice","m2a","4.40663872234751e-07"
"m2b49","morice","m2b","0.975478584528449"
"m349","morice","m3","1.31562633624283e-06"
"m4a49","morice","m4a","3.68516163173627e-07"
"m4b49","morice","m4b","1.24986744176603e-07"
"m150","morrison","m1","2.27194988574284e-08"
"m2a50","morrison","m2a","0.999956797829773"
"m2b50","morrison","m2b","3.71172056688391e-05"
"m350","morrison","m3","6.71885518405005e-07"
"m4a50","morrison","m4a","4.63896804513327e-06"
"m4b50","morrison","m4b","7.51391496245368e-07"
"m151","motase","m1","3.75303381321127e-08"
"m2a51","motase","m2a","2.36862592336254e-06"
"m2b51","motase","m2b","0.999997500135424"
"m351","motase","m3","4.12760344460051e-08"
"m4a51","motase","m4a","5.09176835485884e-08"
"m4b51","motase","m4b","1.51459700337142e-09"
"m152","namu","m1","2.33225143657505e-08"
"m2a52","namu","m2a","6.00875538836012e-06"
"m2b52","namu","m2b","1.30313040367402e-06"
"m352","namu","m3","6.10494081104065e-07"
"m4a52","namu","m4a","0.68082409245924"
"m4b52","namu","m4b","0.319167961838372"
"m153","owikeno","m1","0.252541500718979"
"m2a53","owikeno","m2a","6.48415786012597e-06"
"m2b53","owikeno","m2b","0.747451418586698"
"m353","owikeno","m3","1.04402931366093e-09"
"m4a53","owikeno","m4a","4.88225020970332e-07"
"m4b53","owikeno","m4b","1.07267412841061e-07"
"m154","port-john","m1","1.66178399202105e-08"
"m2a54","port-john","m2a","8.70222001852402e-08"
"m2b54","port-john","m2b","0.999976191703185"
"m354","port-john","m3","1.03150608430994e-06"
"m4a54","port-john","m4a","2.26501337099513e-05"
"m4b54","port-john","m4b","2.30169810988556e-08"
"m155","price","m1","1.420638977005e-07"
"m2a55","price","m2a","1.4542870972981e-06"
"m2b55","price","m2b","2.52959477132558e-06"
"m355","price","m3","3.22454702337664e-08"
"m4a55","price","m4a","0.240736526448884"
"m4b55","price","m4b","0.75925931535988"
"m156","prudhomme","m1","3.60761343586427e-07"
"m2a56","prudhomme","m2a","2.16861231037207e-05"
"m2b56","prudhomme","m2b","0.999973501454901"
"m356","prudhomme","m3","2.06398012403564e-07"
"m4a56","prudhomme","m4a","3.84464125460952e-06"
"m4b56","prudhomme","m4b","4.00621385066025e-07"
"m157","shawaltan","m1","8.13702086643521e-08"
"m2a57","shawaltan","m2a","3.4136957106516e-06"
"m2b57","shawaltan","m2b","5.95164993189126e-06"
"m357","shawaltan","m3","1.66191047451119e-07"
"m4a57","shawaltan","m4a","0.993807529309421"
"m4b57","shawaltan","m4b","0.00618285778368033"
"m158","sheneeza","m1","3.51807163047449e-06"
"m2a58","sheneeza","m2a","1.38446889815693e-05"
"m2b58","sheneeza","m2b","0.999889817539598"
"m358","sheneeza","m3","1.32418853923008e-07"
"m4a58","sheneeza","m4a","8.94269562811437e-05"
"m4b58","sheneeza","m4b","3.26032465469694e-06"
"m159","skidegate","m1","7.88815638796116e-09"
"m2a59","skidegate","m2a","2.97482397134081e-06"
"m2b59","skidegate","m2b","9.17181741919282e-06"
"m359","skidegate","m3","4.66377114939436e-08"
"m4a59","skidegate","m4a","0.999515863433808"
"m4b59","skidegate","m4b","0.000471935398933088"
"m160","slamgeesh","m1","1.17311612315066e-06"
"m2a60","slamgeesh","m2a","1.73584134767371e-06"
"m2b60","slamgeesh","m2b","0.999979380436968"
"m360","slamgeesh","m3","4.53782486860586e-10"
"m4a60","slamgeesh","m4a","1.42512327533013e-05"
"m4b60","slamgeesh","m4b","3.45891902575612e-06"
"m161","stephens","m1","2.09691613854528e-06"
"m2a61","stephens","m2a","0.999990455095086"
"m2b61","stephens","m2b","3.45459714313676e-06"
"m361","stephens","m3","2.05595221111069e-06"
"m4a61","stephens","m4a","1.44947126677378e-06"
"m4b61","stephens","m4b","4.87968154327945e-07"
"m162","sustut","m1","4.76115815792806e-10"
"m2a62","sustut","m2a","1.57069733112399e-06"
"m2b62","sustut","m2b","3.25719373320708e-06"
"m362","sustut","m3","2.84776312754739e-07"
"m4a62","sustut","m4a","0.999992104563777"
"m4b62","sustut","m4b","2.78229272987485e-06"
"m163","swan","m1","0.235992579428143"
"m2a63","swan","m2a","0.164800443290191"
"m2b63","swan","m2b","2.45382074416669e-09"
"m363","swan","m3","1.90068366135671e-06"
"m4a63","swan","m4a","0.599204563475919"
"m4b63","swan","m4b","5.10668263897784e-07"
"m164","tankeeah","m1","5.01041789623498e-08"
"m2a64","tankeeah","m2a","0.216670226631059"
"m2b64","tankeeah","m2b","0.24513343187028"
"m364","tankeeah","m3","4.8753179677412e-05"
"m4a64","tankeeah","m4a","0.483213794325422"
"m4b64","tankeeah","m4b","0.054933743889383"
"m165","tuno-east","m1","7.94681983328761e-10"
"m2a65","tuno-east","m2a","3.12916119060543e-05"
"m2b65","tuno-east","m2b","0.682920802274226"
"m365","tuno-east","m3","3.02032712780122e-08"
"m4a65","tuno-east","m4a","0.316994244341172"
"m4b65","tuno-east","m4b","5.36307747426301e-05"
"m166","tuno-west","m1","1.46686920549615e-09"
"m2a66","tuno-west","m2a","5.8059095189895e-06"
"m2b66","tuno-west","m2b","0.999991293820478"
"m366","tuno-west","m3","6.07079526423892e-07"
"m4a66","tuno-west","m4a","1.56923173106858e-06"
"m4b66","tuno-west","m4b","7.22491875992937e-07"
"m167","yakoun","m1","8.68923557455607e-07"
"m2a67","yakoun","m2a","3.68571770649494e-05"
"m2b67","yakoun","m2b","0.999898085669902"
"m367","yakoun","m3","7.22942697274148e-09"
"m4a67","yakoun","m4a","5.21791184851077e-06"
"m4b67","yakoun","m4b","5.89630882005254e-05"
"m168","yeo","m1","1.66833785738788e-06"
"m2a68","yeo","m2a","1.33393266689052e-06"
"m2b68","yeo","m2b","0.999992164816649"
"m368","yeo","m3","3.88703348247911e-06"
"m4a68","yeo","m4a","7.69554071960551e-07"
"m4b68","yeo","m4b","1.76325272494005e-07"
