"","Pop","Model","Weight"
"m1","alastair","m1","2.22335745407841e-07"
"m2a","alastair","m2a","6.3411213525275e-06"
"m2b","alastair","m2b","0.999987292554435"
"m3","alastair","m3","7.3650554149242e-08"
"m4a","alastair","m4a","2.67681109465422e-06"
"m4b","alastair","m4b","3.39352681799632e-06"
"m11","asitika","m1","1.99428223476254e-07"
"m2a1","asitika","m2a","0.999997590572426"
"m2b1","asitika","m2b","8.34291532790031e-07"
"m31","asitika","m3","5.46284233380552e-07"
"m4a1","asitika","m4a","7.6316878657428e-07"
"m4b1","asitika","m4b","6.62547976482131e-08"
"m12","atnarko","m1","0.163233141410209"
"m2a2","atnarko","m2a","0.546618147318117"
"m2b2","atnarko","m2b","1.26649920929327e-05"
"m32","atnarko","m3","3.12666270526326e-08"
"m4a2","atnarko","m4a","0.290109496307156"
"m4b2","atnarko","m4b","2.65187057985061e-05"
"m13","awun","m1","7.58141109584849e-08"
"m2a3","awun","m2a","1.7890293785893e-06"
"m2b3","awun","m2b","2.54295225526831e-06"
"m33","awun","m3","9.71447897358306e-07"
"m4a3","awun","m4a","2.48637818692868e-06"
"m4b3","awun","m4b","0.999992134378171"
"m14","azuklotz","m1","2.2363523750743e-08"
"m2a4","azuklotz","m2a","0.999768706827352"
"m2b4","azuklotz","m2b","0.000221815152446513"
"m34","azuklotz","m3","1.96081370927732e-08"
"m4a4","azuklotz","m4a","2.21652597376698e-07"
"m4b4","azuklotz","m4b","9.2143959428137e-06"
"m15","babine","m1","3.59184956211964e-08"
"m2a5","babine","m2a","2.15989787157663e-06"
"m2b5","babine","m2b","0.999961354314602"
"m35","babine","m3","1.22006115663115e-08"
"m4a5","babine","m4a","6.861554395234e-06"
"m4b5","babine","m4b","2.9576114023655e-05"
"m16","banks","m1","7.50076982174024e-09"
"m2a6","banks","m2a","4.3537107202534e-06"
"m2b6","banks","m2b","0.999989988233575"
"m36","banks","m3","5.06484495795608e-07"
"m4a6","banks","m4a","2.62441099080232e-06"
"m4b6","banks","m4b","2.51965944864097e-06"
"m17","bear","m1","1.49106486485064e-06"
"m2a7","bear","m2a","1.17832577217115e-06"
"m2b7","bear","m2b","0.999993318524189"
"m37","bear","m3","1.32297332558841e-09"
"m4a7","bear","m4a","3.25052150038736e-06"
"m4b7","bear","m4b","7.60240700059533e-07"
"m18","bloomfield","m1","3.19444257306929e-06"
"m2a8","bloomfield","m2a","7.46983879921514e-06"
"m2b8","bloomfield","m2b","0.999988873045801"
"m38","bloomfield","m3","3.93633747005309e-09"
"m4a8","bloomfield","m4a","3.57136058096322e-07"
"m4b8","bloomfield","m4b","1.01600431401394e-07"
"m19","bonilla","m1","5.24090415481467e-07"
"m2a9","bonilla","m2a","0.00121686194132584"
"m2b9","bonilla","m2b","0.998758511385425"
"m39","bonilla","m3","3.59249886178145e-08"
"m4a9","bonilla","m4a","1.94896334222198e-05"
"m4b9","bonilla","m4b","4.57702442313579e-06"
"m110","borrowman","m1","2.86697025728702e-08"
"m2a10","borrowman","m2a","8.82548207084636e-07"
"m2b10","borrowman","m2b","0.9999981122993"
"m310","borrowman","m3","1.52817997083539e-07"
"m4a10","borrowman","m4a","5.82611839411824e-07"
"m4b10","borrowman","m4b","2.41052953930954e-07"
"m111","bowser","m1","7.67317338550335e-08"
"m2a11","bowser","m2a","1.54311431329055e-05"
"m2b11","bowser","m2b","0.358866486861773"
"m311","bowser","m3","0.641117907184859"
"m4a11","bowser","m4a","1.50117920921353e-08"
"m4b11","bowser","m4b","8.30667095108595e-08"
"m112","canoona","m1","4.06871955537005e-06"
"m2a12","canoona","m2a","0.999982543454988"
"m2b12","canoona","m2b","1.30654469354403e-07"
"m312","canoona","m3","2.94040537078576e-06"
"m4a12","canoona","m4a","1.75591593245396e-06"
"m4b12","canoona","m4b","8.56084968370308e-06"
"m113","curtis-inlet","m1","2.57033720022247e-09"
"m2a13","curtis-inlet","m2a","6.60136779414454e-07"
"m2b13","curtis-inlet","m2b","1.56371536380664e-06"
"m313","curtis-inlet","m3","1.77679756211304e-06"
"m4a13","curtis-inlet","m4a","0.999995064664389"
"m4b13","curtis-inlet","m4b","9.32115568397229e-07"
"m114","damdochax","m1","2.34652539826961e-08"
"m2a14","damdochax","m2a","1.79213367824208e-06"
"m2b14","damdochax","m2b","1.64812934767841e-06"
"m314","damdochax","m3","9.28267020411506e-08"
"m4a14","damdochax","m4a","0.000376452179721492"
"m4b14","damdochax","m4b","0.999619991265297"
"m115","devon","m1","3.14992659251999e-07"
"m2a15","devon","m2a","0.00128764435177159"
"m2b15","devon","m2b","0.000170936504060997"
"m315","devon","m3","2.5398156207939e-06"
"m4a15","devon","m4a","0.998533576302273"
"m4b15","devon","m4b","4.98803361415057e-06"
"m116","evelyn","m1","4.17622835837908e-08"
"m2a16","evelyn","m2a","1.09822222878085e-06"
"m2b16","evelyn","m2b","0.150030280016664"
