"","Model","Metric","Estimate","SE"
"1","m3","elpd_loo",-9107.9167751826,4809.87284658732
"2","m1","elpd_loo",-6618.00811873613,2654.08948801698
"3","m4b","elpd_loo",-3622.70846378399,1264.58474096382
"4","m4a","elpd_loo",-3300.56755062577,942.029799126047
"5","m2a","elpd_loo",-2351.8419925763,394.280915371357
"6","m2b","elpd_loo",-2274.55059955465,376.651665843282
"7","m2b","looic",4549.10119910931,753.303331686563
"8","m2a","looic",4703.6839851526,788.561830742714
"9","m4a","looic",6601.13510125154,1884.05959825209
"10","m4b","looic",7245.41692756799,2529.16948192764
"11","m1","looic",13236.0162374723,5308.17897603396
"12","m3","looic",18215.8335503652,9619.74569317465
"13","m2b","p_loo",1103.18186340198,369.251599716726
"14","m2a","p_loo",1179.36749330736,386.667431246834
"15","m4a","p_loo",2125.35481396197,936.964379690441
"16","m4b","p_loo",2450.68605498421,1260.53623503659
"17","m1","p_loo",5413.44534523419,2650.76376630865
"18","m3","p_loo",7901.15220563314,4807.31893071787
