"","Pop","Model","Metric","Estimate","SE"
"elpd_loo","alastair","m1","elpd_loo",-62.8073881618126,20.2421371397266
"p_loo","alastair","m1","p_loo",30.8627152910147,18.5338108142031
"looic","alastair","m1","looic",125.614776323625,40.4842742794531
"elpd_loo.1","alastair","m2a","elpd_loo",-63.7436910977737,22.0521548762775
"p_loo.1","alastair","m2a","p_loo",31.9681329534861,20.1653518158727
"looic.1","alastair","m2a","looic",127.487382195547,44.104309752555
"elpd_loo.2","alastair","m2b","elpd_loo",-60.0049650022707,19.7008650613501
"p_loo.2","alastair","m2b","p_loo",28.2251929934682,17.6725448426868
"looic.2","alastair","m2b","looic",120.009930004541,39.4017301227002
"elpd_loo.3","alastair","m3","elpd_loo",-62.8260348830032,19.8018673182234
"p_loo.3","alastair","m3","p_loo",30.848275424839,18.3995395866299
"looic.3","alastair","m3","looic",125.652069766006,39.6037346364467
"elpd_loo.4","alastair","m4a","elpd_loo",-57.9128010171999,17.8319413641418
"p_loo.4","alastair","m4a","p_loo",26.2237508533356,16.0703289579061
"looic.4","alastair","m4a","looic",115.8256020344,35.6638827282836
"elpd_loo.5","alastair","m4b","elpd_loo",-64.4555590469606,22.1296397418522
"p_loo.5","alastair","m4b","p_loo",32.710527031691,20.537669309297
"looic.5","alastair","m4b","looic",128.911118093921,44.2592794837043
"elpd_loo1","asitika","m1","elpd_loo",-47.3331492468765,17.4451833531833
"p_loo1","asitika","m1","p_loo",44.3600896920938,16.7589013698703
"looic1","asitika","m1","looic",94.666298493753,34.8903667063667
"elpd_loo.11","asitika","m2a","elpd_loo",-9.96392295511761,7.78144031470378
"p_loo.11","asitika","m2a","p_loo",6.64425875254393,5.84778988692532
"looic.11","asitika","m2a","looic",19.9278459102352,15.5628806294076
"elpd_loo.21","asitika","m2b","elpd_loo",-10.0486655558813,8.17317704167232
"p_loo.21","asitika","m2b","p_loo",6.97004646176684,6.53299519217935
"looic.21","asitika","m2b","looic",20.0973311117626,16.3463540833446
"elpd_loo.31","asitika","m3","elpd_loo",-26.7852974485552,16.712995867436
"p_loo.31","asitika","m3","p_loo",24.1090079702027,15.9758976068068
"looic.31","asitika","m3","looic",53.5705948971103,33.425991734872
"elpd_loo.41","asitika","m4a","elpd_loo",-8.57958871008126,6.08000717174381
"p_loo.41","asitika","m4a","p_loo",5.49969637372771,4.48320174128172
"looic.41","asitika","m4a","looic",17.1591774201625,12.1600143434876
"elpd_loo.51","asitika","m4b","elpd_loo",-8.38507560725313,5.44732888239634
"p_loo.51","asitika","m4b","p_loo",5.50300226869336,4.04503790816295
"looic.51","asitika","m4b","looic",16.7701512145063,10.8946577647927
"elpd_loo2","atnarko","m1","elpd_loo",-29.6026385544262,4.46083951711079
"p_loo2","atnarko","m1","p_loo",2.23466047335138,1.30082707251612
"looic2","atnarko","m1","looic",59.2052771088524,8.92167903422158
"elpd_loo.12","atnarko","m2a","elpd_loo",-30.9811671613876,6.2820808609385
"p_loo.12","atnarko","m2a","p_loo",3.1584457400049,1.62141571122265
"looic.12","atnarko","m2a","looic",61.9623343227752,12.564161721877
