"Pop","Model","Metric","Estimate","SE"
"borrowman","m3","p_loo",1909.68582591521,1300.90149134371
"borrowman","m3","looic",3848.82553652661,2603.27486002404
"borrowman","m4a","elpd_loo",-516.342418771174,327.751710538401
"borrowman","m4a","p_loo",503.240455611838,327.22489829371
"borrowman","m4a","looic",1032.68483754235,655.503421076801
"borrowman","m4b","elpd_loo",-484.160212316297,307.461307607659
"borrowman","m4b","p_loo",471.215753793469,306.958943087892
"borrowman","m4b","looic",968.320424632593,614.922615215317
"bowser","m1","elpd_loo",-32.4183985383005,7.64407636544054
"bowser","m1","p_loo",24.2464479200402,7.16172579576452
"bowser","m1","looic",64.836797076601,15.2881527308811
"bowser","m2a","elpd_loo",-17.1429188680305,2.22938559011104
"bowser","m2a","p_loo",8.19623399806189,1.90741503363389
"bowser","m2a","looic",34.2858377360611,4.45877118022208
"bowser","m2b","elpd_loo",-16.1421951617362,2.00254850139521
"bowser","m2b","p_loo",7.3502499893963,1.69201538813074
"bowser","m2b","looic",32.2843903234723,4.00509700279043
"bowser","m3","elpd_loo",-21.8601378085354,4.20249000562684
"bowser","m3","p_loo",6.57793385615229,4.07454146710295
"bowser","m3","looic",43.7202756170707,8.40498001125368
"bowser","m4a","elpd_loo",-25.4500047794688,5.88842206612211
"bowser","m4a","p_loo",10.4688932394159,5.05301734534883
"bowser","m4a","looic",50.9000095589376,11.7768441322442
"bowser","m4b","elpd_loo",-25.4656592908705,6.62004781231577
"bowser","m4b","p_loo",10.965711209048,5.82538991928601
"bowser","m4b","looic",50.931318581741,13.2400956246315
"canoona","m1","elpd_loo",-112.713526580226,61.4763626092041
"canoona","m1","p_loo",101.902652468697,60.7957076949276
"canoona","m1","looic",225.427053160452,122.952725218408
"canoona","m2a","elpd_loo",-64.547849239421,32.8362013783306
"canoona","m2a","p_loo",53.3476061410354,32.3074833610693
"canoona","m2a","looic",129.095698478842,65.6724027566611
"canoona","m2b","elpd_loo",-69.8914575055549,35.5434428174907
"canoona","m2b","p_loo",58.5075572868749,35.0712664876879
"canoona","m2b","looic",139.78291501111,71.0868856349814
"canoona","m3","elpd_loo",-116.833825553866,62.9710046420043
"canoona","m3","p_loo",106.015232577558,62.333467071164
"canoona","m3","looic",233.667651107732,125.942009284009
"canoona","m4a","elpd_loo",-87.7943684509574,46.6149017714559
"canoona","m4a","p_loo",76.5959418176191,46.0955329519154
"canoona","m4a","looic",175.588736901915,93.2298035429119
"canoona","m4b","elpd_loo",-68.0585378554334,33.8641043625431
"canoona","m4b","p_loo",56.7929161595829,33.3620605129805
"canoona","m4b","looic",136.117075710867,67.7282087250861
"curtis-inlet","m1","elpd_loo",-98.7442153086212,65.6576286240578
"curtis-inlet","m1","p_loo",76.2251343438126,65.600909268116
"curtis-inlet","m1","looic",197.488430617242,131.315257248116
"curtis-inlet","m2a","elpd_loo",-88.2503226871433,54.3237724772258
"curtis-inlet","m2a","p_loo",66.82701715403,54.2378814893769
"curtis-inlet","m2a","looic",176.500645374287,108.647544954452
"curtis-inlet","m2b","elpd_loo",-76.0749674895209,43.3722283142515
"curtis-inlet","m2b","p_loo",54.591264503773,43.3002294952419
"curtis-inlet","m2b","looic",152.149934979042,86.7444566285029
"curtis-inlet","m3","elpd_loo",-93.9318765856321,61.0327151837876
"curtis-inlet","m3","p_loo",71.7568191300718,60.9628227384757
"curtis-inlet","m3","looic",187.863753171264,122.065430367575
"curtis-inlet","m4a","elpd_loo",-83.0845554341697,49.228230560212
"curtis-inlet","m4a","p_loo",61.6988357168603,49.119103755239
"curtis-inlet","m4a","looic",166.169110868339,98.456461120424
"curtis-inlet","m4b","elpd_loo",-87.755249444058,53.9019026098002
"curtis-inlet","m4b","p_loo",66.3823982835443,53.8190237600188
"curtis-inlet","m4b","looic",175.510498888116,107.8038052196
"damdochax","m1","elpd_loo",-36.953502504866,13.1372690401049
"damdochax","m1","p_loo",24.7539977329121,12.2017302781436
"damdochax","m1","looic",73.9070050097319,26.2745380802099
"damdochax","m2a","elpd_loo",-25.2834945433212,8.12017028501176
"damdochax","m2a","p_loo",13.3420502700272,7.10229951439511
"damdochax","m2a","looic",50.5669890866424,16.2403405700235
"damdochax","m2b","elpd_loo",-25.5672333310016,8.67373103835301
"damdochax","m2b","p_loo",13.8526823167194,7.76267316373124
"damdochax","m2b","looic",51.1344666620032,17.347462076706
"damdochax","m3","elpd_loo",-42.7206137621866,16.3562940456666
"damdochax","m3","p_loo",31.238661837231,15.5283027952206
"damdochax","m3","looic",85.4412275243732,32.7125880913331
"damdochax","m4a","elpd_loo",-26.9150021911604,9.11122033679065
"damdochax","m4a","p_loo",15.869717301809,8.24935936574
"damdochax","m4a","looic",53.8300043823208,18.2224406735813
"damdochax","m4b","elpd_loo",-26.1442380629784,8.81017986437019
"damdochax","m4b","p_loo",15.1188203177237,8.009901036684
"damdochax","m4b","looic",52.2884761259567,17.6203597287404
"devon","m1","elpd_loo",-47.2744198393357,11.1399098634154
"devon","m1","p_loo",29.6578245045689,10.5713846593319
"devon","m1","looic",94.5488396786713,22.2798197268307
"devon","m2a","elpd_loo",-38.2659333167435,7.91298561589455
"devon","m2a","p_loo",20.3054743396617,7.3801569792749
"devon","m2a","looic",76.531866633487,15.8259712317891
"devon","m2b","elpd_loo",-38.2438358497297,8.09363144974063
"devon","m2b","p_loo",20.2723605302788,7.58678213419624
"devon","m2b","looic",76.4876716994594,16.1872628994813
"devon","m3","elpd_loo",-44.7988282664477,9.71371764055189
"devon","m3","p_loo",27.2004602756088,9.12540648635854
"devon","m3","looic",89.5976565328955,19.4274352811038
"devon","m4a","elpd_loo",-39.437080680031,8.56794221814688
"devon","m4a","p_loo",21.4400934690869,8.05693153398088
"devon","m4a","looic",78.874161360062,17.1358844362938
"devon","m4b","elpd_loo",-37.9146273590879,7.48981396306533
"devon","m4b","p_loo",19.9022560243549,6.95246877518834
"devon","m4b","looic",75.8292547181758,14.9796279261307
"evelyn","m1","elpd_loo",-27.2303011096493,2.504056702589
"evelyn","m1","p_loo",5.90669598061817,1.76243381519193
"evelyn","m1","looic",54.4606022192986,5.008113405178
"evelyn","m2a","elpd_loo",-25.637197627071,2.50842942847862
"evelyn","m2a","p_loo",5.37504301770776,1.66580460798872
"evelyn","m2a","looic",51.2743952541421,5.01685885695723
"evelyn","m2b","elpd_loo",-25.3918843780731,2.39053542956603
"evelyn","m2b","p_loo",5.17491378617403,1.54438298394658
"evelyn","m2b","looic",50.7837687561463,4.78107085913207
"evelyn","m3","elpd_loo",-27.0391835011732,2.99829410309827
"evelyn","m3","p_loo",6.20999970953737,2.13618360285847
"evelyn","m3","looic",54.0783670023463,5.99658820619655
"evelyn","m4a","elpd_loo",-25.4626674806639,2.7363732298148
"evelyn","m4a","p_loo",5.39369778363546,1.80679708133898
"evelyn","m4a","looic",50.9253349613278,5.47274645962959
"evelyn","m4b","elpd_loo",-25.3680241134322,2.74332328518158
"evelyn","m4b","p_loo",5.37098180443719,1.82037793524832
"evelyn","m4b","looic",50.7360482268644,5.48664657036316
"fairfax","m1","elpd_loo",-82.2806870494419,38.5213466058796
"fairfax","m1","p_loo",71.5549249462996,38.402271940313
"fairfax","m1","looic",164.561374098884,77.0426932117591
"fairfax","m2a","elpd_loo",-44.6888213367562,18.7024153232618
"fairfax","m2a","p_loo",34.4010519870209,18.5768986804752
"fairfax","m2a","looic",89.3776426735125,37.4048306465235
"fairfax","m2b","elpd_loo",-43.7889985913674,17.8424319770186
"fairfax","m2b","p_loo",33.4004994846483,17.7121207747121
"fairfax","m2b","looic",87.5779971827348,35.6848639540373
"fairfax","m3","elpd_loo",-72.4174899988776,32.14278968934
"fairfax","m3","p_loo",62.5265007489377,32.0201004276396
"fairfax","m3","looic",144.834979997755,64.28557937868
"fairfax","m4a","elpd_loo",-45.2158611456895,20.2132518762713
"fairfax","m4a","p_loo",35.438975015052,20.1037139542754
"fairfax","m4a","looic",90.4317222913789,40.4265037525426
"fairfax","m4b","elpd_loo",-46.8666097988462,23.2107828484804
"fairfax","m4b","p_loo",37.0260927253656,23.1306377950919
"fairfax","m4b","looic",93.7332195976924,46.4215656969608
"fred-wright","m1","elpd_loo",-17.4952001687454,2.5925871499715
"fred-wright","m1","p_loo",7.96363953558218,2.29044697430531
"fred-wright","m1","looic",34.9904003374908,5.18517429994301
"fred-wright","m2a","elpd_loo",-18.4630187893238,2.22251225995899
"fred-wright","m2a","p_loo",7.44687214596626,1.88237637700802
"fred-wright","m2a","looic",36.9260375786476,4.44502451991798
"fred-wright","m2b","elpd_loo",-17.5989632222089,2.15282563248298
"fred-wright","m2b","p_loo",7.04234617996391,1.76176635185814
"fred-wright","m2b","looic",35.1979264444179,4.30565126496596
"fred-wright","m3","elpd_loo",-17.5234158054447,2.97415076101781
"fred-wright","m3","p_loo",8.47299350253171,2.62534637778353
"fred-wright","m3","looic",35.0468316108895,5.94830152203562
"fred-wright","m4a","elpd_loo",-16.9755627376299,2.31317596442205
"fred-wright","m4a","p_loo",6.9613207936755,1.96106004570638
"fred-wright","m4a","looic",33.9511254752597,4.62635192884411
"fred-wright","m4b","elpd_loo",-16.3539277296389,2.27770112841554
"fred-wright","m4b","p_loo",6.65681728215463,1.91977278805731
"fred-wright","m4b","looic",32.7078554592777,4.55540225683108
"freeda-lakes","m1","elpd_loo",-48.3239128158968,32.8300840638861
"freeda-lakes","m1","p_loo",40.1273747357529,32.4577262628216
"freeda-lakes","m1","looic",96.6478256317937,65.6601681277722
"freeda-lakes","m2a","elpd_loo",-14.0659537840701,4.36316828636694
"freeda-lakes","m2a","p_loo",6.65399605447486,3.9357729961734
"freeda-lakes","m2a","looic",28.1319075681402,8.72633657273389
"freeda-lakes","m2b","elpd_loo",-14.8308503225542,4.97132107607014
"freeda-lakes","m2b","p_loo",7.42723893769623,4.55292696181649
"freeda-lakes","m2b","looic",29.6617006451084,9.94264215214029
"freeda-lakes","m3","elpd_loo",-11.3050397158813,1.43037239789375
"freeda-lakes","m3","p_loo",2.54045172336298,0.836787183060808
"freeda-lakes","m3","looic",22.6100794317626,2.8607447957875
"freeda-lakes","m4a","elpd_loo",-10.9407983661711,1.69763332288444
"freeda-lakes","m4a","p_loo",2.8676341463642,0.991966441836781
"freeda-lakes","m4a","looic",21.8815967323423,3.39526664576888
"freeda-lakes","m4b","elpd_loo",-10.7139175824307,1.59700330149215
"freeda-lakes","m4b","p_loo",2.62105492249045,0.893212036820002
"freeda-lakes","m4b","looic",21.4278351648614,3.1940066029843
"hartley-bay","m1","elpd_loo",-71.4394295062686,24.5044658194276
"hartley-bay","m1","p_loo",65.3898479763301,23.5923602675434
"hartley-bay","m1","looic",142.878859012537,49.0089316388551
"hartley-bay","m2a","elpd_loo",-47.8242390121888,17.1238350216735
"hartley-bay","m2a","p_loo",40.6069619329967,16.3379542195443
"hartley-bay","m2a","looic",95.6484780243777,34.2476700433471
"hartley-bay","m2b","elpd_loo",-43.4958875048742,16.5247021905547
"hartley-bay","m2b","p_loo",36.1607441039304,15.630546324364
"hartley-bay","m2b","looic",86.9917750097484,33.0494043811094
"hartley-bay","m3","elpd_loo",-82.0611255433827,28.7542206983247
"hartley-bay","m3","p_loo",77.02316592075,27.8095060379824
"hartley-bay","m3","looic",164.122251086765,57.5084413966494
"hartley-bay","m4a","elpd_loo",-48.3079774584145,17.6980830596087
"hartley-bay","m4a","p_loo",42.3447737321938,16.8540023400332
"hartley-bay","m4a","looic",96.6159549168291,35.3961661192173
"hartley-bay","m4b","elpd_loo",-54.2100284337333,19.8046060472728
"hartley-bay","m4b","p_loo",48.2645588103524,19.0706386514173
"hartley-bay","m4b","looic",108.420056867467,39.6092120945457
"hauyat","m1","elpd_loo",-29.3988333131596,5.45401535689107
"hauyat","m1","p_loo",13.8447253461843,4.60648963450774
"hauyat","m1","looic",58.7976666263193,10.9080307137821
"hauyat","m2a","elpd_loo",-26.9456087575618,4.71257691726413
"hauyat","m2a","p_loo",11.3053866236399,3.59729665400548
"hauyat","m2a","looic",53.8912175151237,9.42515383452825
"hauyat","m2b","elpd_loo",-26.7219005769324,4.56588549418471
"hauyat","m2b","p_loo",11.1480676084478,3.38499444539874
"hauyat","m2b","looic",53.4438011538648,9.13177098836941
"hauyat","m3","elpd_loo",-29.3957271399366,5.98560858646403
"hauyat","m3","p_loo",13.9891802569332,4.78504472269211
"hauyat","m3","looic",58.7914542798733,11.9712171729281
"hauyat","m4a","elpd_loo",-27.2106437296831,5.62044418572318
"hauyat","m4a","p_loo",11.7959523715324,4.38823270359083
"hauyat","m4a","looic",54.4212874593662,11.2408883714464
"hauyat","m4b","elpd_loo",-26.5463996452483,5.22279600699972
"hauyat","m4b","p_loo",11.187197290388,4.0484375431616
"hauyat","m4b","looic",53.0927992904967,10.4455920139994
"johanson","m1","elpd_loo",-183.125079721179,123.849513506174
"johanson","m1","p_loo",179.408989561503,123.442551505605
"johanson","m1","looic",366.250159442359,247.699027012348
"johanson","m2a","elpd_loo",-17.4693651919147,12.381526889333
"johanson","m2a","p_loo",14.0841792726884,11.9693407760953
"johanson","m2a","looic",34.9387303838294,24.763053778666
"johanson","m2b","elpd_loo",-20.9286846789474,13.6084090186698
"johanson","m2b","p_loo",17.4169062073453,13.0332209627997
"johanson","m2b","looic",41.8573693578947,27.2168180373395
"johanson","m3","elpd_loo",-43.9305009651701,24.6038468132787
"johanson","m3","p_loo",40.430397236749,24.3844857432831
"johanson","m3","looic",87.8610019303401,49.2076936265574
"johanson","m4a","elpd_loo",-6.80768451965334,2.78843963407226
"johanson","m4a","p_loo",3.72703966748212,2.5227051975769
"johanson","m4a","looic",13.6153690393067,5.57687926814451
"johanson","m4b","elpd_loo",-7.09895150258792,2.61782681266438
"johanson","m4b","p_loo",3.93622154234328,2.26754150254308
"johanson","m4b","looic",14.1979030051758,5.23565362532875
"johnston","m1","elpd_loo",-17.1163756749338,3.63843063923919
"johnston","m1","p_loo",9.33128330612523,3.2767741245881
"johnston","m1","looic",34.2327513498676,7.27686127847839
"johnston","m2a","elpd_loo",-11.254651658764,2.39974976847221
"johnston","m2a","p_loo",4.66529980170688,1.83357252443086
"johnston","m2a","looic",22.5093033175279,4.79949953694442
"johnston","m2b","elpd_loo",-11.0143200934794,2.30904428650713
"johnston","m2b","p_loo",4.43347610889209,1.75848858298693
"johnston","m2b","looic",22.0286401869587,4.61808857301426
"johnston","m3","elpd_loo",-14.8202899429449,2.6334395035956
"johnston","m3","p_loo",7.14727334491217,2.14505468005172
"johnston","m3","looic",29.6405798858899,5.2668790071912
"johnston","m4a","elpd_loo",-11.4201242145235,2.45741415523311
"johnston","m4a","p_loo",4.79967965966588,1.92318142798766
"johnston","m4a","looic",22.8402484290469,4.91482831046622
"johnston","m4b","elpd_loo",-11.4059798616901,2.35789941763853
"johnston","m4b","p_loo",4.77796100520936,1.75952586138793
"johnston","m4b","looic",22.8119597233802,4.71579883527706
"kadjusdis","m1","elpd_loo",-48.4151894207641,8.56567084687102
"kadjusdis","m1","p_loo",31.4985013682379,6.92878598889574
"kadjusdis","m1","looic",96.8303788415281,17.131341693742
"kadjusdis","m2a","elpd_loo",-32.0104043234741,5.24342654051719
"kadjusdis","m2a","p_loo",15.1742723590288,3.6805489978063
"kadjusdis","m2a","looic",64.0208086469482,10.4868530810344
"kadjusdis","m2b","elpd_loo",-31.2331127116072,5.11173379184654
"kadjusdis","m2b","p_loo",14.300504294276,3.59713338213994
"kadjusdis","m2b","looic",62.4662254232145,10.2234675836931
"kadjusdis","m3","elpd_loo",-40.6024341623744,6.67610947021974
"kadjusdis","m3","p_loo",24.2699332350532,5.52113960916389
"kadjusdis","m3","looic",81.2048683247488,13.3522189404395
"kadjusdis","m4a","elpd_loo",-29.5722853975748,4.35724539346135
"kadjusdis","m4a","p_loo",13.542502882622,3.21964121982454
"kadjusdis","m4a","looic",59.1445707951495,8.7144907869227
"kadjusdis","m4b","elpd_loo",-29.4411422054804,4.30703589353064
"kadjusdis","m4b","p_loo",13.4236373151111,3.21940168339058
"kadjusdis","m4b","looic",58.8822844109608,8.61407178706128
"kainet","m1","elpd_loo",-118.81468490671,58.9501424268262
"kainet","m1","p_loo",99.261958438746,58.639038450048
"kainet","m1","looic",237.62936981342,117.900284853652
"kainet","m2a","elpd_loo",-75.5669622759927,34.5255846674986
"kainet","m2a","p_loo",54.9027787959477,34.4678187775466
"kainet","m2a","looic",151.133924551985,69.0511693349973
