"","Pop","Model","Weight"
"m1","alastair","m1","2.62980445349126e-07"
"m2a","alastair","m2a","2.02458385596146e-06"
"m2b","alastair","m2b","8.34511063699068e-06"
"m3","alastair","m3","5.79590791580537e-08"
"m4a","alastair","m4a","0.999988902771646"
"m4b","alastair","m4b","4.06594336088695e-07"
"m11","asitika","m1","9.61927610864191e-08"
"m2a1","asitika","m2a","2.08602808293811e-07"
"m2b1","asitika","m2b","4.31710208717956e-05"
"m31","asitika","m3","2.11187103978462e-08"
"m4a1","asitika","m4a","0.000125701514599396"
"m4b1","asitika","m4b","0.999830801550249"
"m12","atnarko","m1","0.961880972129752"
"m2a2","atnarko","m2a","0.0380939563508577"
"m2b2","atnarko","m2b","1.61175812834672e-05"
"m32","atnarko","m3","9.62042078286063e-08"
"m4a2","atnarko","m4a","4.05511809092511e-06"
"m4b2","atnarko","m4b","4.80261580759755e-06"
"m13","awun","m1","4.29110295101114e-08"
"m2a3","awun","m2a","6.92614942589379e-06"
"m2b3","awun","m2b","0.999986625412686"
"m33","awun","m3","2.66331625607628e-07"
"m4a3","awun","m4a","1.33137520767923e-06"
"m4b3","awun","m4b","4.80782002576507e-06"
"m14","azuklotz","m1","1.95242637804253e-09"
"m2a4","azuklotz","m2a","1.57287594822002e-06"
"m2b4","azuklotz","m2b","0.999908684669454"
"m34","azuklotz","m3","7.11764469271618e-07"
"m4a4","azuklotz","m4a","6.88809811395728e-05"
"m4b4","azuklotz","m4b","2.01477565626718e-05"
"m15","babine","m1","1.57929608299685e-07"
"m2a5","babine","m2a","6.67135021886767e-06"
"m2b5","babine","m2b","0.999941006302013"
"m35","babine","m3","7.31350670066635e-07"
"m4a5","babine","m4a","4.54551319297502e-05"
"m4b5","babine","m4b","5.97793555956461e-06"
"m16","banks","m1","4.94624790584141e-10"
"m2a6","banks","m2a","4.67789061112237e-06"
"m2b6","banks","m2b","0.425538651671876"
"m36","banks","m3","1.10846709456191e-07"
"m4a6","banks","m4a","0.574453356970849"
"m4b6","banks","m4b","3.20212532967101e-06"
"m17","bear","m1","5.80447915140237e-09"
"m2a7","bear","m2a","0.999822805927025"
"m2b7","bear","m2b","2.46066196777275e-06"
"m37","bear","m3","1.55640059547305e-07"
"m4a7","bear","m4a","0.000173132820221711"
"m4b7","bear","m4b","1.43914624695096e-06"
"m18","bloomfield","m1","0.00192241322782968"
"m2a8","bloomfield","m2a","0.00256287128657313"
"m2b8","bloomfield","m2b","1.78231987644453e-06"
"m38","bloomfield","m3","3.94557754055271e-09"
"m4a8","bloomfield","m4a","4.15983294578454e-07"
"m4b8","bloomfield","m4b","0.995512513236849"
"m19","bonilla","m1","1.48954768160992e-08"
"m2a9","bonilla","m2a","0.999984315617766"
"m2b9","bonilla","m2b","1.43482150485624e-05"
"m39","bonilla","m3","1.67322203443846e-07"
"m4a9","bonilla","m4a","2.83515412358091e-07"
"m4b9","bonilla","m4b","8.70434092692385e-07"
"m110","borrowman","m1","7.83581852048438e-07"
"m2a10","borrowman","m2a","4.89457043461423e-06"
"m2b10","borrowman","m2b","0.999993655568232"
"m310","borrowman","m3","1.3317251512243e-08"
"m4a10","borrowman","m4a","7.64404243843009e-08"
"m4b10","borrowman","m4b","5.76521805517594e-07"
"m111","bowser","m1","0.152778916064848"
"m2a11","bowser","m2a","2.41682269390768e-05"
"m2b11","bowser","m2b","0.847196825820222"
"m311","bowser","m3","5.03690936795976e-08"
"m4a11","bowser","m4a","3.78880232099336e-08"
"m4b11","bowser","m4b","1.63087388038718e-09"
"m112","canoona","m1","2.62722740237505e-06"
"m2a12","canoona","m2a","6.54284507958179e-06"
"m2b12","canoona","m2b","0.999983881677491"
"m312","canoona","m3","2.53018243858921e-06"
"m4a12","canoona","m4a","4.4098680691746e-06"
"m4b12","canoona","m4b","8.19951906372296e-09"
"m113","curtis-inlet","m1","5.32780060282178e-09"
"m2a13","curtis-inlet","m2a","0.999843179814936"
"m2b13","curtis-inlet","m2b","0.000139054954376638"
"m313","curtis-inlet","m3","5.50651859039816e-08"
"m4a13","curtis-inlet","m4a","6.90875754512009e-06"
"m4b13","curtis-inlet","m4b","1.07960801553064e-05"
"m114","damdochax","m1","1.65130359327764e-08"
"m2a14","damdochax","m2a","1.42660707445124e-07"
"m2b14","damdochax","m2b","4.01030811027955e-07"
"m314","damdochax","m3","3.30643149508381e-07"
"m4a14","damdochax","m4a","0.931620991202463"
"m4b14","damdochax","m4b","0.0683781179498332"
"m115","devon","m1","8.77340022954721e-08"
"m2a15","devon","m2a","5.46324135834517e-06"
"m2b15","devon","m2b","0.999987402402959"
"m315","devon","m3","1.40854407375258e-07"
"m4a15","devon","m4a","2.41175191361635e-06"
"m4b15","devon","m4b","4.49401535973504e-06"
"m116","evelyn","m1","5.25111896753329e-07"
"m2a16","evelyn","m2a","0.493053748403466"
"m2b16","evelyn","m2b","0.506942564522055"
"m316","evelyn","m3","8.06886297557598e-08"
"m4a16","evelyn","m4a","6.0856396017453e-07"
"m4b16","evelyn","m4b","2.47270999220728e-06"
"m117","fairfax","m1","4.07599079769683e-08"
"m2a17","fairfax","m2a","4.80969164763508e-06"
"m2b17","fairfax","m2b","8.26041865751521e-07"
"m317","fairfax","m3","5.66288823518131e-07"
"m4a17","fairfax","m4a","3.35937317289461e-06"
"m4b17","fairfax","m4b","0.999990397844582"
"m118","fred-wright","m1","4.59673999371175e-08"
"m2a18","fred-wright","m2a","3.98970741412911e-08"
"m2b18","fred-wright","m2b","5.0959606704429e-08"
"m318","fred-wright","m3","0.149130443218804"
"m4a18","fred-wright","m4a","0.850864931448242"
"m4b18","fred-wright","m4b","4.48850887313501e-06"
"m119","freeda-lakes","m1","7.06847435994863e-08"
"m2a19","freeda-lakes","m2a","0.00047707355544998"
"m2b19","freeda-lakes","m2b","0.999508341720535"
"m319","freeda-lakes","m3","8.64591527515411e-07"
"m4a19","freeda-lakes","m4a","6.31911576336269e-06"
"m4b19","freeda-lakes","m4b","7.33033198097033e-06"
"m120","hartley-bay","m1","4.98837468744924e-09"
"m2a20","hartley-bay","m2a","7.31726205590765e-08"
"m2b20","hartley-bay","m2b","0.534836723152183"
"m320","hartley-bay","m3","1.0737587227104e-07"
"m4a20","hartley-bay","m4a","0.465160382020289"
"m4b20","hartley-bay","m4b","2.70929066015224e-06"
"m121","hauyat","m1","1.84712392793209e-06"
"m2a21","hauyat","m2a","1.16040841078688e-06"
"m2b21","hauyat","m2b","1.43424526013182e-06"
"m321","hauyat","m3","1.17901611713616e-08"
"m4a21","hauyat","m4a","2.34750251240636e-06"
"m4b21","hauyat","m4b","0.999993198929728"
"m122","johanson","m1","2.42751493437913e-08"
"m2a22","johanson","m2a","4.59316901854679e-09"
"m2b22","johanson","m2b","5.27186026257841e-08"
"m322","johanson","m3","1.68537087462178e-08"
"m4a22","johanson","m4a","0.999998848137779"
"m4b22","johanson","m4b","1.05342159151256e-06"
"m123","johnston","m1","5.6185434733413e-07"
"m2a23","johnston","m2a","1.12816146026901e-07"
"m2b23","johnston","m2b","0.99999769294247"
"m323","johnston","m3","1.52011805669845e-07"
"m4a23","johnston","m4a","3.72788920767632e-07"
"m4b23","johnston","m4b","1.10758631011176e-06"
"m124","kadjusdis","m1","2.07294355556978e-08"
"m2a24","kadjusdis","m2a","1.87260673778339e-06"
"m2b24","kadjusdis","m2b","0.99994154913136"
"m324","kadjusdis","m3","1.5621136751898e-07"
"m4a24","kadjusdis","m4a","4.50655393663457e-05"
"m4b24","kadjusdis","m4b","1.13357817326243e-05"
"m125","kainet","m1","0.110436148226137"
"m2a25","kainet","m2a","3.82969862144989e-07"
"m2b25","kainet","m2b","0.889500590600497"
"m325","kainet","m3","6.27848351230439e-05"
"m4a25","kainet","m4a","2.16104187685371e-08"
"m4b25","kainet","m4b","7.17579614617492e-08"
"m126","kdelmashan","m1","6.23233612619728e-08"
"m2a26","kdelmashan","m2a","0.998942519770996"
"m2b26","kdelmashan","m2b","0.00105409887775306"
"m326","kdelmashan","m3","1.16595613355335e-07"
"m4a26","kdelmashan","m4a","1.70933998941978e-06"
"m4b26","kdelmashan","m4b","1.49309228691941e-06"
"m127","keecha","m1","2.14274898188212e-08"
"m2a27","keecha","m2a","0.481606156101812"
"m2b27","keecha","m2b","2.26994483690546e-06"
"m327","keecha","m3","6.87000651681163e-07"
"m4a27","keecha","m4a","3.33899164965819e-06"
"m4b27","keecha","m4b","0.51838752653356"
