"","Model","Metric","Estimate","SE"
"1","m1","elpd_loo",-2830.74539395039,387.56637755033
"2","m3","elpd_loo",-2800.99130386694,411.827030833308
"3","m4a","elpd_loo",-2214.8874928203,310.08797614859
"4","m4b","elpd_loo",-2187.70577298527,310.889783704876
"5","m2a","elpd_loo",-2161.70531665181,290.01825574062
"6","m2b","elpd_loo",-2110.9587559504,269.884200121278
"7","m2b","looic",4221.9175119008,539.768400242555
"8","m2a","looic",4323.41063330362,580.03651148124
"9","m4b","looic",4375.41154597054,621.779567409751
"10","m4a","looic",4429.77498564061,620.175952297181
"11","m3","looic",5601.98260773387,823.654061666616
"12","m1","looic",5661.49078790077,775.132755100659
"13","m2b","p_loo",899.989697822462,261.624220467759
"14","m2a","p_loo",950.585494663868,281.888658374063
"15","m4b","p_loo",992.679317860146,302.465033848252
"16","m4a","p_loo",1017.21192958086,301.243267349523
"17","m3","p_loo",1570.88039620681,403.524291818277
"18","m1","p_loo",1579.69466225379,378.971459902204
