"","Model","Metric","Estimate","SE"
"elpd_loo.3","m3","elpd_loo",-4851.40507694391,1522.14212822447
"elpd_loo","m1","elpd_loo",-4508.69755667202,1010.09743093668
"elpd_loo.1","m2a","elpd_loo",-2347.65632122248,268.905921589795
"elpd_loo.2","m2b","elpd_loo",-2292.46663080373,260.918770607595
"elpd_loo.5","m4b","elpd_loo",-2284.7474547463,290.499030292035
"elpd_loo.4","m4a","elpd_loo",-2217.80925935881,301.457263767108
"looic.4","m4a","looic",4435.61851871763,602.914527534216
"looic.5","m4b","looic",4569.4949094926,580.99806058407
"looic.2","m2b","looic",4584.93326160746,521.837541215189
"looic.1","m2a","looic",4695.31264244496,537.81184317959
"looic","m1","looic",9017.39511334405,2020.19486187337
"looic.3","m3","looic",9702.81015388783,3044.28425644894
"p_loo.4","m4a","p_loo",1009.79880341489,294.657631363898
"p_loo.2","m2b","p_loo",1078.23986361193,250.449332550672
"p_loo.5","m4b","p_loo",1078.86061587319,283.707499002162
"p_loo.1","m2a","p_loo",1136.5682773221,260.27639434387
"p_loo","m1","p_loo",3277.18996896544,1003.9342646366
"p_loo.3","m3","p_loo",3614.58539339463,1515.88821427833
