"Weight","Model","Pop"
6.86031927032377e-08,"m2a","johanson"
4.13566741827735e-08,"m2b","johanson"
5.48591485496322e-09,"m3","johanson"
0.999999663720098,"m4a","johanson"
2.20302464715161e-07,"m4b","johanson"
4.78524691306413e-11,"m1","johnston"
2.37858863203264e-06,"m2a","johnston"
0.999997208449699,"m2b","johnston"
3.43881080559154e-09,"m3","johnston"
1.55041968028656e-07,"m4a","johnston"
2.54433037416568e-07,"m4b","johnston"
3.85799902772228e-09,"m1","kadjusdis"
2.60076825485084e-07,"m2a","kadjusdis"
0.0301679852946318,"m2b","kadjusdis"
1.82957956887438e-08,"m3","kadjusdis"
4.74072292225431e-06,"m4a","kadjusdis"
0.969826991751826,"m4b","kadjusdis"
7.07605004505625e-07,"m1","kainet"
1.59576497052456e-08,"m2a","kainet"
1.44120061111475e-07,"m2b","kainet"
0.370245924690374,"m3","kainet"
0.629346118416858,"m4a","kainet"
0.000407089210052614,"m4b","kainet"
7.71564236090958e-12,"m1","kdelmashan"
5.61390054646305e-08,"m2a","kdelmashan"
6.30490838783953e-09,"m2b","kdelmashan"
7.49641741969332e-08,"m3","kdelmashan"
0.99632169698416,"m4a","kdelmashan"
0.0036781656000362,"m4b","kdelmashan"
3.12298385264679e-10,"m1","keecha"
5.35338266164698e-09,"m2a","keecha"
6.63246589288849e-09,"m2b","keecha"
7.13506857247373e-09,"m3","keecha"
0.00372684043381171,"m4a","keecha"
0.996273140132973,"m4b","keecha"
1.86284769730432e-10,"m1","keswar"
9.81863279501392e-08,"m2a","keswar"
2.54073829231286e-08,"m2b","keswar"
1.97853398588346e-09,"m3","keswar"
0.999999865353283,"m4a","keswar"
8.88818696420657e-09,"m4b","keswar"
3.25427755278227e-09,"m1","kimsquit"
2.6532285740363e-06,"m2a","kimsquit"
0.164356680714303,"m2b","kimsquit"
0.824315802916745,"m3","kimsquit"
9.59322374451097e-07,"m4a","kimsquit"
0.0113239005637265,"m4b","kimsquit"
5.46680028422464e-09,"m1","kisameet"
7.73966180592203e-09,"m2a","kisameet"
