"","Pop","Model","Metric","Estimate","SE"
"elpd_loo","alastair","m1","elpd_loo",-32.5346618621241,2.70771836445429
"p_loo","alastair","m1","p_loo",1.74974109546403,0.429984228698088
"looic","alastair","m1","looic",65.0693237242481,5.41543672890859
"elpd_loo.1","alastair","m2a","elpd_loo",-31.3741239204494,2.97129372717251
"p_loo.1","alastair","m2a","p_loo",1.45707786898072,0.370039606821067
"looic.1","alastair","m2a","looic",62.7482478408989,5.94258745434503
"elpd_loo.2","alastair","m2b","elpd_loo",-31.4000107463268,2.95444972561606
"p_loo.2","alastair","m2b","p_loo",1.4865102315757,0.374205974758308
"looic.2","alastair","m2b","looic",62.8000214926536,5.90889945123212
"elpd_loo.3","alastair","m3","elpd_loo",-32.8225266995587,2.76194058898157
"p_loo.3","alastair","m3","p_loo",1.80794893270394,0.442786419197648
"looic.3","alastair","m3","looic",65.6450533991173,5.52388117796314
"elpd_loo.4","alastair","m4a","elpd_loo",-31.8272098847285,3.03026098138978
"p_loo.4","alastair","m4a","p_loo",1.64428614730316,0.420247146945812
"looic.4","alastair","m4a","looic",63.654419769457,6.06052196277957
"elpd_loo.5","alastair","m4b","elpd_loo",-31.8459942908773,3.06967170486121
"p_loo.5","alastair","m4b","p_loo",1.66461649556236,0.433427789804418
"looic.5","alastair","m4b","looic",63.6919885817546,6.13934340972242
"elpd_loo1","asitika","m1","elpd_loo",-57.538080714475,54.5711978921313
"p_loo1","asitika","m1","p_loo",54.9222022793327,54.3318973857845
"looic1","asitika","m1","looic",115.07616142895,109.142395784263
"elpd_loo.11","asitika","m2a","elpd_loo",-2.01079620542609,0.387092905617017
"p_loo.11","asitika","m2a","p_loo",0.172135655277978,0.0900105549343468
"looic.11","asitika","m2a","looic",4.02159241085219,0.774185811234034
"elpd_loo.21","asitika","m2b","elpd_loo",-1.83004783754468,0.23315516229682
"p_loo.21","asitika","m2b","p_loo",0.135084372938062,0.0562987443980649
"looic.21","asitika","m2b","looic",3.66009567508937,0.466310324593639
"elpd_loo.31","asitika","m3","elpd_loo",-105.54439884657,100.496147802897
"p_loo.31","asitika","m3","p_loo",103.046816186589,100.06850834011
"looic.31","asitika","m3","looic",211.08879769314,200.992295605794
"elpd_loo.41","asitika","m4a","elpd_loo",-2.03252003706763,0.333006023054743
"p_loo.41","asitika","m4a","p_loo",0.229990610235379,0.119293939597597
"looic.41","asitika","m4a","looic",4.06504007413526,0.666012046109486
"elpd_loo.51","asitika","m4b","elpd_loo",-1.93414321255885,0.181158455740935
"p_loo.51","asitika","m4b","p_loo",0.216326923451014,0.0609703465006532
"looic.51","asitika","m4b","looic",3.8682864251177,0.362316911481869
"elpd_loo2","atnarko","m1","elpd_loo",-26.667979784345,1.70690076778377
"p_loo2","atnarko","m1","p_loo",0.80544240365909,0.281013042707155
"looic2","atnarko","m1","looic",53.33595956869,3.41380153556755
"elpd_loo.12","atnarko","m2a","elpd_loo",-25.157205070949,2.53697064108289
"p_loo.12","atnarko","m2a","p_loo",1.27665623227655,0.629400327568322
"looic.12","atnarko","m2a","looic",50.314410141898,5.07394128216578
"elpd_loo.22","atnarko","m2b","elpd_loo",-25.5509612686848,2.54050639456415
"p_loo.22","atnarko","m2b","p_loo",1.39590540942402,0.653918297545075
"looic.22","atnarko","m2b","looic",51.1019225373697,5.08101278912829
"elpd_loo.32","atnarko","m3","elpd_loo",-27.3175354553241,1.18446382417598
"p_loo.32","atnarko","m3","p_loo",0.90041064067603,0.168766685068996
"looic.32","atnarko","m3","looic",54.6350709106482,2.36892764835197
"elpd_loo.42","atnarko","m4a","elpd_loo",-25.2591888633293,1.98437010871242
"p_loo.42","atnarko","m4a","p_loo",1.02486798332967,0.331763836644462
"looic.42","atnarko","m4a","looic",50.5183777266586,3.96874021742483
"elpd_loo.52","atnarko","m4b","elpd_loo",-25.387294355171,2.06610280823772
"p_loo.52","atnarko","m4b","p_loo",1.0769086265129,0.352149139536508
"looic.52","atnarko","m4b","looic",50.774588710342,4.13220561647544
"elpd_loo3","awun","m1","elpd_loo",-47.8587085211228,11.117767036915
"p_loo3","awun","m1","p_loo",15.6057628751117,9.36709614942632
"looic3","awun","m1","looic",95.7174170422457,22.2355340738301
"elpd_loo.13","awun","m2a","elpd_loo",-40.8884336835537,7.48693791714895
"p_loo.13","awun","m2a","p_loo",9.13841218016364,5.09195068140543
"looic.13","awun","m2a","looic",81.7768673671073,14.9738758342979
"elpd_loo.23","awun","m2b","elpd_loo",-43.2788046448229,9.10822206071337
"p_loo.23","awun","m2b","p_loo",11.2195537683626,7.20301922206878
"looic.23","awun","m2b","looic",86.5576092896459,18.2164441214267
"elpd_loo.33","awun","m3","elpd_loo",-44.8585434585937,8.93685765392629
"p_loo.33","awun","m3","p_loo",12.4048090551882,6.6632390301737
"looic.33","awun","m3","looic",89.7170869171873,17.8737153078526
"elpd_loo.43","awun","m4a","elpd_loo",-41.9952233995384,8.06086706788522
"p_loo.43","awun","m4a","p_loo",10.0010725255664,5.74898392671648
"looic.43","awun","m4a","looic",83.9904467990767,16.1217341357704
"elpd_loo.53","awun","m4b","elpd_loo",-41.2985607215396,7.52667166889467
"p_loo.53","awun","m4b","p_loo",9.17604485720255,4.96190780050936
"looic.53","awun","m4b","looic",82.5971214430792,15.0533433377893
"elpd_loo4","azuklotz","m1","elpd_loo",-13.7595844372152,1.1759213298234
"p_loo4","azuklotz","m1","p_loo",1.15039344355091,0.38819509706255
"looic4","azuklotz","m1","looic",27.5191688744304,2.3518426596468
"elpd_loo.14","azuklotz","m2a","elpd_loo",-11.8163898198587,1.38215333375738
"p_loo.14","azuklotz","m2a","p_loo",0.927485479009881,0.336327909740882
"looic.14","azuklotz","m2a","looic",23.6327796397175,2.76430666751476
"elpd_loo.24","azuklotz","m2b","elpd_loo",-11.7472451618953,1.07309377146094
"p_loo.24","azuklotz","m2b","p_loo",0.884832053477147,0.237448583764339
"looic.24","azuklotz","m2b","looic",23.4944903237905,2.14618754292187
"elpd_loo.34","azuklotz","m3","elpd_loo",-13.6322745837539,1.21675941873037
"p_loo.34","azuklotz","m3","p_loo",1.03608834530059,0.347831859208851
